"DOTA_Tooltip_modifier_imba_earths_mark"								"Earths Mark"
"DOTA_Tooltip_modifier_imba_earths_mark_Description"					"Susceptible to extra effects from Earth Spirits spells"

"DOTA_Tooltip_modifier_imba_earth_spirit_remnant_charges"				"Available Stone Remnants"

"DOTA_Tooltip_modifier_imba_stone_remnant"								"Enhchanted Remnant"
"DOTA_Tooltip_modifier_imba_stone_remnant_Description"					"Petrified!"

"DOTA_Tooltip_modifier_imba_rolling_boulder_slow"						"Slowed"
"DOTA_Tooltip_modifier_imba_rolling_boulder_disarm"						"Disarmed"

"DOTA_Tooltip_modifier_imba_geomagnetic_grip_silence"					"Silenced"
"DOTA_Tooltip_modifier_imba_geomagnetic_grip_root"						"Rooted"

"DOTA_Tooltip_modifier_imba_magnetize"									"Magnetized"
"DOTA_Tooltip_modifier_imba_magnetize_Description"						"Taking periodic damage. Being too close to a stone remnant will refresh the duration."

"DOTA_Tooltip_Ability_imba_earth_spirit_stone_remnant"								"Stone Remnant"
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_remnant_Description"					"Call a Stone Remnant to the target location. Stone Remnants provide no vision and are invulneruable, and can be used with Earth Spirit's abilities. Calling a Stone Remnant consumes a charge, which recharge over time.\nEarth's Mark: Enemies hit by Earth Spirits abilities refresh, and apply an Earth's Mark stack on the target. Spells have additional effects when the target is marked.\nMarked Spot: Marks enemies in a small radius around the Stone Remnants landing point, as well as revealing the area for a short duration."
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_remnant_Lore"							"Earth Spirit calls forth a remnant of his stone army, long buried with him in the dark embrace of the Earth."
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_remnant_max_charges"					"MAX CHARGES:"
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_remnant_charge_cooldown"				"CHARGE COOLDOWN:"
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_remnant_remnant_duration"				"REMNANT DURATION:"
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_remnant_earths_mark_duration"			"EARTHS MARK DURATION:"
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_remnant_effect_radius"				"EFFECT AND VISION RADIUS:"
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_remnant_vision_duration"				"VISION RADIUS:"

"DOTA_Tooltip_Ability_imba_earth_spirit_boulder_smash"								"Boulder Smash"
"DOTA_Tooltip_Ability_imba_earth_spirit_boulder_smash_Description"					"Earth Spirit smashes the target enemy or ally, sending them in the diection he is facing. If Earth Spirit targets an area, he will smash the nearest Stone Remnant in a %max_distance_for_push% radius. The Traveling unit or Remnant damages all enemy units it hits. If an enemy is hit by a Stone Remnant, they are also stunned. Stone Remnants travel further than other units.\nMarked Enemy: Deals bonus %mark_stack_damage% damage per Earths Mark stack."
"DOTA_Tooltip_Ability_imba_earth_spirit_boulder_smash_Lore"							"It is with the power of a mountain that Earth Spirit strikes his enemies."
"DOTA_Tooltip_Ability_imba_earth_spirit_boulder_smash_speed"							"SPEED:"
"DOTA_Tooltip_Ability_imba_earth_spirit_boulder_smash_damage"						"DAMAGE:"
"DOTA_Tooltip_Ability_imba_earth_spirit_boulder_smash_unit_distance"					"UNIT DISTANCE:"
"DOTA_Tooltip_Ability_imba_earth_spirit_boulder_smash_remnant_distance"				"REMNANT DISTANCE:"
"DOTA_Tooltip_Ability_imba_earth_spirit_boulder_smash_stun_duration"					"STUN DURATION:"
"DOTA_Tooltip_Ability_imba_earth_spirit_boulder_smash_mark_stack_damage"				"DAMAGE PER EARTHS MARK:"

"DOTA_Tooltip_Ability_imba_earth_spirit_rolling_boulder"							"Rolling Boulder"
"DOTA_Tooltip_Ability_imba_earth_spirit_rolling_boulder_Description"				"Earth Spirit gathers himself into a boulder and, after a %launch_delay% seconds delay, rolls towards the target location, damaging enemy units. He will stop if he collides with an enemy hero or is stunned. If he rolls over a Stone Remnant, he will travel further and faster, and enemies hit by the boulder will have their movement speed slowed.\nBlunting Stone: Disarms hit enemies for %disarm_duration_per_mark% seconds per Earths Mark stack."
"DOTA_Tooltip_Ability_imba_earth_spirit_rolling_boulder_Lore"						"Calling upon his connection to the land, the Earth Spirit draws loose stone to him, which forms a protective ball that he can use to roll short distances."
"DOTA_Tooltip_Ability_imba_earth_spirit_rolling_boulder_damage"						"DAMAGE:"
"DOTA_Tooltip_Ability_imba_earth_spirit_rolling_boulder_roll_distance"				"DISTANCE:"
"DOTA_Tooltip_Ability_imba_earth_spirit_rolling_boulder_remnant_roll_distance"		"REMNANT DISTANCE:"
"DOTA_Tooltip_Ability_imba_earth_spirit_rolling_boulder_remnant_slow_pcnt"			"%SLOW:"
"DOTA_Tooltip_Ability_imba_earth_spirit_rolling_boulder_remnant_slow_duration"		"SLOW DURATION:"
"DOTA_Tooltip_Ability_imba_earth_spirit_rolling_boulder_disarm_duration_per_mark"	"DISARM DURATION PER EARTHS MARK:"

"DOTA_Tooltip_Ability_imba_earth_spirit_geomagnetic_grip"							"Geomagnetic Grip"
"DOTA_Tooltip_Ability_imba_earth_spirit_geomagnetic_grip_Description"				"Earth Spirit pulls the target Stone Remnant &&or ally&&. Enemies struck by the gripped target will be silenced, and take damage if the gripped target is a Stone Remnant.\nSink Hole: Roots hit targets for %root_time_per_mark% seconds per Earths Mark stack."
"DOTA_Tooltip_Ability_imba_earth_spirit_geomagnetic_grip_Lore"						"Like calls to like. Even the minerals found in the blood and bones of living beings are not immune to the call of the Earth Spirit."
"DOTA_Tooltip_Ability_imba_earth_spirit_geomagnetic_grip_silence_duration"			"SILENCE DURATION:"
"DOTA_Tooltip_Ability_imba_earth_spirit_geomagnetic_grip_speed"						"UNIT SPEED:"
"DOTA_Tooltip_Ability_imba_earth_spirit_geomagnetic_grip_remnant_speed"				"REMNANT SPEED:"
"DOTA_Tooltip_Ability_imba_earth_spirit_geomagnetic_grip_damage"					"REMNANT DAMAGE:"
"DOTA_Tooltip_Ability_imba_earth_spirit_geomagnetic_grip_root_time_per_mark"		"ROOT DURATION PER EARTHS MARK:"

"DOTA_Tooltip_Ability_imba_earth_spirit_magnetize"									"Magnetize"
"DOTA_Tooltip_Ability_imba_earth_spirit_magnetize_Description"						"Magnetizes units in a small nearby area, causing them to take damage for a short duration. Magnetized heroes cause nearby Stone Remnants to explode, destroying the remnant after %remnant_lifespan% seconds, and applying or refreshing Magnetize on all nearby enemies. This process can repeat multiple times, but not from the same Stone Remnant. If an enemy hero is affected by silence or slows as a result of Geomagnetic Grim or Rolling Boulder, all magnetized enemies will have the effect applied to the as well.\nEarths Wrath: Constantly refreshes Earths Mark duration, as well as dealing increased damage per second based on stack count. Exploding Stone Remnants apply an Earths Mark stack, and stun enemies who already had at least one Earths Mark stack for %marked_stun_duration% seconds."
"DOTA_Tooltip_Ability_imba_earth_spirit_magnetize_Lore"								"At the Earth Spirit's call, the minerals in the blood and bones f his enemies rebel against the bodies they find themselves in."
"DOTA_Tooltip_Ability_imba_earth_spirit_magnetize_duration"							"DURATION:"
"DOTA_Tooltip_Ability_imba_earth_spirit_magnetize_damage_per_sec"					"DAMAGE PER SECOND:"
"DOTA_Tooltip_Ability_imba_earth_spirit_magnetize_remnant_search_radius"			"REMNANT SEARCH RADIUS:"
"DOTA_Tooltip_Ability_imba_earth_spirit_magnetize_remnant_refresh_radius"			"REMNANT EXPLODE RADIUS:"
