////    Storm Spirit

// Storm Spirit's Static Remnant
"DOTA_Tooltip_ability_imba_storm_spirit_static_remnant"									"#{DOTA_Tooltip_ability_storm_spirit_static_remnant}"
"DOTA_Tooltip_ability_imba_storm_spirit_static_remnant_Description"						"#{DOTA_Tooltip_ability_storm_spirit_static_remnant_Description}\n<font color='#FF7800'>Static Vortex:</font> Whenever a Static Remnant detonates on an enemy, it will cast a smaller Electric Vortex on the target."
"DOTA_Tooltip_ability_imba_storm_spirit_static_remnant_Lore"							"#{DOTA_Tooltip_ability_storm_spirit_static_remnant_Lore}"
"DOTA_Tooltip_ability_imba_storm_spirit_static_remnant_Note0"							"#{DOTA_Tooltip_ability_storm_spirit_static_remnant_Note0}"
"DOTA_Tooltip_ability_imba_storm_spirit_static_remnant_Note1"							"#{DOTA_Tooltip_ability_storm_spirit_static_remnant_Note1}"
"DOTA_Tooltip_ability_imba_storm_spirit_static_remnant_Note2"							"#{DOTA_Tooltip_ability_storm_spirit_static_remnant_Note2}"
"DOTA_Tooltip_ability_imba_storm_spirit_static_remnant_big_remnant_damage_radius"		"#{DOTA_Tooltip_ability_storm_spirit_static_remnant_static_remnant_damage_radius}"
"DOTA_Tooltip_ability_imba_storm_spirit_static_remnant_big_remnant_damage"				"#{DOTA_Tooltip_ability_storm_spirit_static_remnant_static_remnant_damage}"
"DOTA_Tooltip_ability_imba_storm_spirit_static_remnant_remnant_count"					"REMNANT COUNT:"

// Storm Spirit's Electric Vortex
"DOTA_Tooltip_ability_imba_storm_spirit_electric_vortex"						"#{DOTA_Tooltip_ability_storm_spirit_electric_vortex}"
"DOTA_Tooltip_ability_imba_storm_spirit_electric_vortex_Description"			"#{DOTA_Tooltip_ability_storm_spirit_electric_vortex_Description}\n<font color='#FF7800'>Sly Vortex:</font> Steals %mana_steal%% mana/second from pulled targets"
"DOTA_Tooltip_ability_imba_storm_spirit_electric_vortex_Lore"					"#{DOTA_Tooltip_ability_storm_spirit_electric_vortex_Lore}"
"DOTA_Tooltip_ability_imba_storm_spirit_electric_vortex_pull_duration"			"#{DOTA_Tooltip_ability_storm_spirit_electric_vortex_duration}"
