// Wisp
////===============================================================================================================
// Wisp's Tether
////===============================================================================================================

"DOTA_Tooltip_ability_imba_wisp_tether"                         "TETHER"
"DOTA_Tooltip_ability_imba_wisp_tether_description"             "Tethers Io to an allied unit, granting bonus movement speed to both <font color='#FF7800'>and setting both to the faster unit's speed.</font color='#FF7800'> When Io restores health or mana, tethered units target gains a larger portion of that amount. The tether breaks when the allied unit moves too far away, or Io cancels the tether. \n<font color='#FF7800'>Entwine</font color='#FF7800'>: Enemies hit by tether have their movement and attack speed slowed."
"DOTA_Tooltip_ability_imba_wisp_tether_Note0"                   "If you try to tether a unit that is 1800 distance or futher away from Io, he will latch on and pull himself close to the tethered unit (to a distance of 700). The tethered unit will heal faster."
"DOTA_Tooltip_ability_imba_wisp_tether_Note1"                   "Pierces ally magic immunity."
"DOTA_Tooltip_ability_imba_wisp_tether_lore"                    "The benevolent touch of Io brings strength from between the planes."
"DOTA_Tooltip_ability_imba_wisp_tether_radius"            		"MAX TETHER DISTANCE:"
"DOTA_Tooltip_ability_imba_wisp_tether_movespeed"               "%MOVEMENT SPEED BONUS:"
"DOTA_Tooltip_ability_imba_wisp_tether_tether_heal_amp"         		"HP/MANA AMP:"
"DOTA_Tooltip_ability_imba_wisp_tether_attackslow_tooltip"		"SLOW:"
"DOTA_Tooltip_ability_imba_wisp_tether_stun_duration" 			"SLOW DURATION:"

"DOTA_Tooltip_modifier_imba_wisp_tether_ally"					"TETHERED"
"DOTA_Tooltip_modifier_imba_wisp_tether_ally_description"		"Movement speed increased by %% and given regen to tethered target"


"DOTA_Tooltip_modifier_imba_wisp_tether"					"TETHERED"
"DOTA_Tooltip_modifier_imba_wisp_tether_description"		"Movement speed increased by %% and given regen to tethered target"

"DOTA_Tooltip_modifier_imba_wisp_tether_slow"				"SLOWED"
"DOTA_Tooltip_modifier_imba_wisp_tether_slow_description"	"Movement speed reduced while touched by tether! Effect lingers after exposure."

////===============================================================================================================
// Wisp's Tether Break
////===============================================================================================================
"DOTA_Tooltip_ability_imba_wisp_tether_break"					"BREAK TETHER"
"DOTA_Tooltip_ability_imba_wisp_tether_break_description"		"Break the link to the tethered unit."

////===============================================================================================================
// Wisp's Spirits
////===============================================================================================================
"DOTA_Tooltip_ability_imba_wisp_spirits"						"SPIRITS"
"DOTA_Tooltip_ability_imba_wisp_spirits_description"			"Summon seven particle spirits that dance in a circle around Io. If a particle collides with an enemy hero, it explodes, damaging and slowing all enemy units in an area around it. Creeps take minor damage from touching a particle spirit, but do not cause them to explode. When its duration ends, any remaining Spirits explode. \n<font color='#FF7800'>Synergy</font color='#FF7800'>: Spirits disarm or silence on hit, toggle Swap Spirits ability to change the effect."
"DOTA_Tooltip_ability_imba_wisp_spirits_lore" 					"Io twists the particles of the universe with his unimaginable capabilities."
"DOTA_Tooltip_ability_imba_wisp_spirits_creep_damage"          	"CREEP DAMAGE:"
"DOTA_Tooltip_ability_imba_wisp_spirits_hero_damage"          	"HERO DAMAGE:"
"DOTA_Tooltip_ability_imba_wisp_spirits_slow"          			"%MOVEMENT SLOW:"
"DOTA_Tooltip_ability_imba_wisp_spirits_max_range"          	"OSCILLATION RADIUS:"
"DOTA_Tooltip_ability_imba_wisp_spirits_explode_radius"         "EXPLOSION RADIUS:"
"DOTA_Tooltip_ability_imba_wisp_spirits_explosion_damage"       "EXPLOSION DAMAGE:"
"DOTA_Tooltip_ability_imba_wisp_spirits_spirit_duration"      	"DURATION:"
"DOTA_Tooltip_ability_imba_wisp_spirits_num_spririts"			"SPIRIT COUNT:"
"DOTA_Tooltip_ability_imba_wisp_spirits_spirit_debuff_duration"	"DISARM/SILENCE DURATION:"
"DOTA_Tooltip_ability_imba_wisp_spirits_aghanim_description"	"Living Spirits: Gives %aghanim_spirits_vision_range% flying vision radius to Spirits."

////===============================================================================================================
// Wisp's Spirit Toggle
////===============================================================================================================
"DOTA_Tooltip_ability_imba_wisp_spirits_toggle"          		"SPIRITS MOVMENT"
"DOTA_Tooltip_ability_imba_wisp_spirits_toggle_description"     "Calls the spirits in and out."

////===============================================================================================================
// Wisp's Overcharge
////===============================================================================================================
"DOTA_Tooltip_ability_imba_wisp_overcharge"          				"OVERCHARGE"
"DOTA_Tooltip_ability_imba_wisp_overcharge_description" 			"Io gains bonus attack speed and damage reduction, at the cost of draining a percentage of its current health and mana per second. If Io is tethered to an ally, that unit also gains the bonuses.\n<font color='#FF7800'>Fundamental Shift</font color='#FF7800'>: Also grants increased: missile speed, cast speed, and attack range."
"DOTA_Tooltip_ability_imba_wisp_overcharge_lore"					"Drawing on the energy of matter from all worlds, Io begins the unravelling of time."
"DOTA_Tooltip_ability_imba_wisp_overcharge_bonus_attack_speed"      "ATTACK SPEED:"
"DOTA_Tooltip_ability_imba_wisp_overcharge_bonus_cast_speed"        "CAST SPEED:"
"DOTA_Tooltip_ability_imba_wisp_overcharge_bonus_missile_speed"     "MISSILE SPEED:"
"DOTA_Tooltip_ability_imba_wisp_overcharge_bonus_attack_range"      "ATTACK RANGE:"
"DOTA_Tooltip_ability_imba_wisp_overcharge_bonus_damage_pct"        "%INCOMING DAMAGE REDUCTION:"
"DOTA_Tooltip_ability_imba_wisp_overcharge_tooltip_drain_pct"       "%HEALTH/MANA DRAIN:"

"DOTA_Tooltip_modifier_imba_wisp_overcharge"						"OVERCHARGED"
"DOTA_Tooltip_modifier_imba_wisp_overcharge_description"			"Attack speed, Attack range, Cast Speed, and Missile speed increaed. Incoming damage reduced"



////===============================================================================================================
// Wisp's Relocate
////===============================================================================================================
"DOTA_Tooltip_ability_imba_wisp_relocate"          				"RELOCATE"
"DOTA_Tooltip_ability_imba_wisp_relocate_description"          	"Teleports Io and any tethered ally to any location. After the spell expires Io and any tethered ally will return to their original location. Double-click to teleport to your team's base fountain.\n<font color='#FF7800'>Castling</font color='#FF7800'>: Io can choose to break Relocate at any given moment. When breaking relocate both Io and any tethered ally will return to their original location.\n<font color='#FF7800'>Fundamental Strength</font color='#FF7800'>: Relocate have a cast time instead of channel time."
"DOTA_Tooltip_ability_imba_wisp_relocate_Note0"					"Enemies receive a visual indicator in the world and on the minimap of the target location during the cast delay. If Io is disabled during the cast delay, Relocate is cancelled. If an allied  hero is Tethered, that hero will teleport along with you. You can break the tether at any time to prevent that hero from teleporting back with you. You can abort the Relocation at any time."
"DOTA_Tooltip_ability_imba_wisp_relocate_lore"					"Io is the embodiment of the mystery of the universe."
"DOTA_Tooltip_ability_imba_wisp_relocate_cast_delay"			"CAST DELAY:"	
