"lang"											"en"
"Unassigned"      								"Unassigned Team"
"Spectator"       								"Spectators"
"Neutrals"        								"Neutrals"
"NoTeam"          								"No Team"

"DOTA_GoodGuys"   								"Radiant"
"DOTA_BadGuys"    								"Dire"
"DOTA_Custom1"    								"Pink Dragon"
"DOTA_Custom2"    								"Orange Dog"
"DOTA_Custom3"    								"Blue Rooster"
"DOTA_Custom4"    								"Green Ram"
"DOTA_Custom5"    								"Brown Rat"
"DOTA_Custom6"    								"Cyan Boar"
"DOTA_Custom7"    								"Olive Snake"
"DOTA_Custom8"    								"Purple Horse"

"addonname"										"Dota IMBA"

//Flyout Scoreboard
"custom_scoreboard_hero_name_and_desc"			"{s:hero_name}"
"scoreboard_tool_tip_mute_player"				"Mute Player"
"scoreboard_tool_tip_active_mute_player"		"(MUTED)"
"scoreboard_tool_tip_share_unit"				"Share Unit"
"scoreboard_tool_tip_share_hero"				"Share Hero"
"scoreboard_tool_tip_active_share_unit_hero"	"(SHARED)"
"scoreboard_tool_tip_disable_help"				"Disable Help"
"scoreboard_tool_tip_active_disable_help"		"(DISABLED)"
"custom_end_screen_legend_imr"					"IMR"
"custom_end_screen_legend_imr10v10"				"IMR 10v10"
"custom_end_screen_legend_imr1v1"				"IMR 1v1"

//Combat Events
"custom_toast_PlayerDenied"								"{killer_name} {denied_icon} Denied {victim_name}"
//	"custom_toast_CourierKilled"							"{courier_icon} {victim_name} courier is dead" // 1 courier per player
"custom_toast_CourierKilled"							"{courier_icon} {team_name} courier is dead" // Team couriers
"custom_toast_CourierRespawned"							"{courier_icon} {team_name} courier has respawned" // Team couriers
//	"custom_toast_CourierRespawned"							"{courier_icon} {victim_name} courier has respawned" // 1 courier per player
"custom_toast_GlyphUsed"								"{glyph_icon} {team_name} structures fortified"
"custom_toast_TeamKilled"								"{team_name} {killed_icon} {victim_name}"
"custom_toast_KillStreak"								"{player_name} is {kill_streak}"
"custom_toast_KillStreak_Ended"							"{victim_name} {kill_streak}x Kill Streak ended"
"custom_toast_BottledRune"								"{player_name} bottled {rune_name}"
"custom_toast_ActivatedRune"							"{player_name} has activated {rune_name}"
"DOTA_Tooltip_ability_item_imba_rune_arcane"			"Archmage Soul"
"DOTA_Tooltip_ability_item_imba_rune_bounty"			"Bounty Rune"
"DOTA_Tooltip_ability_item_imba_rune_double_damage"		"Power Surge"
"DOTA_Tooltip_ability_item_imba_rune_haste"				"Nightmare Shadow"
"DOTA_Tooltip_ability_item_imba_rune_illusion"			"Illusion Rune"
"DOTA_Tooltip_ability_item_imba_rune_invisibility"		"Invisibility Rune"
"DOTA_Tooltip_ability_item_imba_rune_regeneration"		"Boundless Energy"
"DOTA_Tooltip_ability_item_imba_rune_frost"				"Greevil Soul"

"lag_issues"									"Dota 2 IMBA website"
"oaa_news_title"								"Also linked to Dota IMBA:"
"oaa_news_text"									"Playing Pudge Wars, X Hero Siege or Hero Line Wars also grants Imba XP! These mods also benefits their own XP system, and will have their own Battlepass soon."

"imba_gamemode_name_all_pick"                                                       "All Pick"
"imba_gamemode_name_all_pick_tooltip"												"Players are free to choose any hero."
"imba_gamemode_name_all_random"                                                     "All Random"
"imba_gamemode_name_all_random_tooltip"                                             "Players will be forced to random, receiving bonus gold."
"imba_gamemode_name_all_random_same_hero"											"All Random Same Hero"
"imba_gamemode_name_all_random_same_hero_tooltip"									"Players will be forced to random the same hero, receiving bonus gold."
"imba_gamemode_name_imba_ranked_5v5"												"Ranked (5v5)"        
"imba_gamemode_name_imba_ranked_10v10"												"Ranked (10v10)"        
"imba_gamemode_name_imba_mutation_5v5"												"Mutation (5v5)"
"imba_gamemode_name_imba_mutation_10v10"											"Mutation (10v10)"
"imba_gamemode_name_imba_1v1"														"Ranked (1v1)"
"imba_gamemode_name_imba_overthrow"													"Imbathrow"

"imba_random_pick_button"                                                           "RANDOM HERO"
"imba_random_imba_pick_button"                                                      "RANDOM IMBA HERO"
"imba_repick_button"                                                                "Repick a hero"

"imba_gamemode_settings_gold_multiplier"                                            "Gold multiplier:"
"imba_gamemode_settings_gold_multiplier_tooltip"                                    "Multiplies all gold earned."
"imba_gamemode_settings_exp_multiplier"                                             "Exp multiplier:"
"imba_gamemode_settings_exp_multiplier_tooltip"                                     "Multiplies all experience earned."
"imba_gamemode_settings_respawn_time"                                               "Respawn time reduction:"
"imba_gamemode_settings_respawn_time_tooltip"                                       "Decreases heroes' respawn timers."
"imba_gamemode_settings_tower_upgrades"                                             "Upgradable towers"
"imba_gamemode_settings_tower_upgrades_tooltip"                                     "Upon destroying one of a team's towers, all of that team's remaining towers will become stronger."
"imba_gamemode_settings_creep_power_title"                                          "Creep power:"
"imba_gamemode_settings_creep_power_title_tooltip"                                  "Grants creeps damage and health bonuses, which increase as the game progresses."
"imba_gamemode_settings_tower_power_title"                                          "Tower power:"
"imba_gamemode_settings_tower_power_title_tooltip"                                  "Grants towers bonus damage, health, armor and attack speed. Higher-tier towers gain stronger bonuses."
"imba_gamemode_settings_hero_power_title"                                           "Hero power:"
"imba_gamemode_settings_hero_power_title_tooltip"                                   "Determines heroes' starting/maximum level, and starting gold."
