"battlepass_blink"						"Nature Blink"
"battlepass_blink2"						"Light Blue Blink"
"battlepass_blink3"						"Water Blink"
"battlepass_blink4"						"Water Blink 2"
"battlepass_blink5"						"Snow Blink"
"battlepass_blink6"						"Purple Blink"
"battlepass_blink7"						"Red Blink"
"battlepass_blink8"						"Red Blink 2"
"battlepass_blink9"						"Gold Blink"
"battlepass_blink10"					"Gold Blink 2"
"battlepass_blink11"					"Emerald Blink"
"battlepass_blink12"					"Emerald Blink 2"
"battlepass_blink13"					"Overgrown Blink"
"battlepass_blink14"					"Overgrown Blink 2"

"battlepass_force_staff"				"Nature Force Staff"
"battlepass_force_staff2"				"Water Force Staff"
"battlepass_force_staff3"				"Snow Force Staff"
"battlepass_force_staff4"				"Red Force Staff"
"battlepass_force_staff5"				"Emerald Force Staff"
"battlepass_force_staff6"				"Overgrown Force Staff"

"battlepass_radiance"					"Water Radiance"
"battlepass_radiance2"					"Red Radiance"
"battlepass_radiance3"					"Emerald Radiance"
"battlepass_radiance4"					"Overgrown Radiance"

"battlepass_sheepstick"					"Blue Pig Sheepstick"
"battlepass_sheepstick2"				"Bird Sheepstick"

"battlepass_shiva"						"Water Shiva"
"battlepass_shiva2"						"Fire Shiva"

"battlepass_shiva3"						"Emerald Shiva"
"battlepass_shiva4"						"Overgrown Shiva"

"battlepass_mekansm"					"Water Mekansm"
"battlepass_mekansm2"					"Red Mekansm"
"battlepass_mekansm3"					"Emerald Mekansm"
"battlepass_mekansm4"					"Overgrown Mekansm"

"battlepass_fountain"					"Nature Fountain"
"battlepass_fountain2"					"Nature Fountain 2"
"battlepass_fountain3"					"Nature Fountain 3"
"battlepass_fountain4"					"Water Fountain"
"battlepass_fountain5"					"Water Fountain 2"
"battlepass_fountain6"					"Water Fountain 3"
"battlepass_fountain7"					"Snow Fountain"
"battlepass_fountain8"					"Snow Fountain 2"
"battlepass_fountain9"					"Snow Fountain 3"
"battlepass_fountain10"					"Purple Fountain"
"battlepass_fountain11"					"Red Fountain"
"battlepass_fountain12"					"Red Fountain 2"
"battlepass_fountain13"					"Red Fountain 3"
"battlepass_fountain14"					"Gold Fountain"
"battlepass_fountain15"					"Gold Fountain 2"
"battlepass_fountain16"					"Emerald Fountain"
"battlepass_fountain17"					"Emerald Fountain 2"
"battlepass_fountain18"					"Emerald Fountain 3"
"battlepass_fountain19"					"Overgrown Fountain"
"battlepass_fountain20"					"Overgrown Fountain 2"
"battlepass_fountain21"					"Overgrown Fountain 3"

"battlepass_bottle"						"Water Bottle"
"battlepass_bottle2"					"Purple Bottle"
"battlepass_bottle3"					"Red Bottle"
"battlepass_bottle4"					"Gold Bottle"
"battlepass_bottle5"					"Emerald Bottle"

"battlepass_vengefulspirit_immortal"	"#{DOTA_Item_Mournful_Reverie}"
"battlepass_pudge_arcana"				"#{DOTA_Item_Feast_of_Abscession}"
"battlepass_pudge_arcana2"				"#{DOTA_Item_Feast_of_Abscession} (Grand Abscession)"
"battlepass_pudge_immortal"				"#{DOTA_Item_Dragonclaw_Hook}"
"battlepass_juggernaut_arcana"			"#{DOTA_Item_Bladeform_Legacy}"
"battlepass_juggernaut_arcana2"			"#{DOTA_Item_Bladeform_Legacy} (Origins)"
"battlepass_lina_arcana"				"#{DOTA_Item_Fiery_Soul_of_the_Slayer}"
"battlepass_zuus_arcana"				"#{DOTA_Item_Tempest_Helm_of_the_Thundergod}"
"battlepass_wisp_arcana"				"#{DOTA_Item_Benevolent_Companion}"
"battlepass_enigma_immortal"			"#{DOTA_Item_World_Chasm_Artifact}"
"battlepass_enigma_mythical"			"#{DOTA_Set_Twisted_Maelstrom}"
"battlepass_chen_mythical"				"#{DOTA_Item_The_Rat_King}"
"battlepass_dark_seer_immortal"			"#{DOTA_Item_Bracers_of_Forlorn_Precipice}"
