//Chat Wheel
"announcers"						"Announcers"
"englishannouncer"					"English Announcer"
"englishannouncer2"					"English Announcer 2"
"chineseannouncer"					"Chinese Announcer"
"chineseannouncer2"					"Chinese Announcer 2"
"russianannouncer"					"Russian Announcer"
"russianannouncer2"					"Russian Announcer 2"
"dotaplus"							"Dota Plus"
"dotaplus2"							"Dota Plus 2"
"battlepass2019"					"BattlePass 2019"
"epiccaster"						"Epic Caster"
"epiccaster2"						"Epic Caster 2"
"koreancaster"						"Korean Caster"
"sprays"							"Sprays(soon)"
"heroes"							"Heroes"
"hero"								"Hero"
"more"								"More"
"favourites"						"Favourites"
"heros_a-b"							"Heroes A-B"
"heros_b-c"							"Heroes B-C"
"heros_c-d"							"Heroes C-D"
"heros_d-e"							"Heroes D-E"
"heros_e-i"							"Heroes E-I"
"heros_j-l"							"Heroes J-L"
"heros_l-m"							"Heroes L-M"
"heros_m-n"							"Heroes M-N"
"heros_n-p"							"Heroes N-P"
"heros_p-r"							"Heroes P-R"
"heros_s-s"							"Heroes S-S"
"heros_s-t"							"Heroes S-T"
"heros_t-t"							"Heroes T-T"
"heros_t-u"							"Heroes T-U"
"heros_u-v"							"Heroes U-V"
"heros_w-z"							"Heroes W-Z"
"whtooltip"							"Type '-ch {d:num}' to play this sound"
"votooltip"							"Hold 'L' to access the chat wheel"
"whtooltipff"						"Right click a sound to add it to the favorites menu"
"hero_chat_wheel_donator"			"Available to {s:donators} only!"

//No need to localize
//en
"patience"							"Patience from Zhou"
"wow"								"Waow"
"all_dead"							"They're all dead!"
"brutal"							"Brutal. Savage. Rekt."
"disastah"							"It's a disastah!"
"easiest_money"						"Easiest money of my life!"
"echo_slama_jama"					"Echo Slamma Jamma!"
"next_level"						"The next level!"
"youre_a_hero"						"You're a goddamn hero!"
"playing_to_win"					"That's ing to win, baby!"
"that_was_questionable"				"I...uh...That was questionable at the...at the best."
"what_just_happened"				"I can't believe what we're seeing. What just happened?"
"oy_oy_oy"							"Oyoy oy oy, oy, oy, oy, oy, oy!"
"ta_daaaa"							"Lakad Matataaag! Normalin, Normalin."
"ceeb"								"Ceeeeeeeeeeeeeeeb"
"oh_my_lord"						"Oh my lord!"
"looking_spicy"						"It's looking Spicy!"
"no_chill"							"This guy has no chill"
"ding_ding_ding"					"Ding Ding Ding Mother******"
"absolutely_perfect"				"Absolutely Perfect"
"lets_play"							"Let's Play Some Dota"
"nakupuuu"							"NAKUPUU"
"whats_cooking"						"You know what's cooking? BOOM!"
"eughahaha"							"Eughahaha Aah Ha Ha Ha Ha"
"glados_chat_21"					"I estimate the probability of winning to be above 99%."
"glados_chat_01"					"I'm not angry, I'm Just Disappointed."
"glados_chat_07"					"I estimate the probability of winning to be above 1%."
"glados_chat_04"					"I estimate the probability of winning to be 17%."
"goodness_gracious"					"Sir Chief. Goodness Gracious Papable."
"kooka_laugh"						"Kookabura Laugh"
"monkey_biz"						"Monkey Business"
"orangutan_kiss"					"Sloppy Orangutan Kiss"
"skeeter"							"Mosquito Buzz"
"crowd_groan"						"Crowd Groan"
"head_bonk"							"Head Bonk"
"record_scratch"					"Record Scratch"
"ta_da"								"Ta Daaaaaa"

//ru
"bozhe_ti_posmotri"					"Боже, ты посмотри вокруг, что происходит!"
"zhil_do_konsta"					"Жил до конца, умер как герой"
"ay_ay_ay"							"Ай-ай-ай-ай-ай, что сейчас произошло!"
"ehto_g_g"							"Это ГГ"
"eto_prosto_netchto"				"Это. Просто. Нечто."
"krasavchik"						"Красавчик!"
"bozhe_kak_eto_bolno"				"Боже, как это больно!"
"oy_oy_bezhat"						"Ой-ой-ой-ой-ой, бежать!"
"eto_nenormalno"					"Это ненормально, это нечестно!"
"eto_sochno"						"Как же это сочно, ах!"
"kreasa_kreasa"						"Резать Резать Резать Резать"
"kak_boyge_te_byechenya"			"Какой же ты бешеный, а"
"eto_ge_popayx_feeda"				"Это уже попахивает фидом"
"da_da_da_nyet"						"Да? Да? Да? Нет."
"wot_eto_bru"						"Вот Это Врыв!"

//korean
"kor_yes_no"						"네, 노, 네, 노 노 노!"
"kor_scan"							"스캔 돌려야 되요 따라란따란따라라라란 스캔 돌려야 된다고요!"
"kor_immortality"					"Mommy! I got me! Immortality!"
"kor_roshan"						"Roshan! Roshan! Roshan!"
"kor_yolo"							"골드 부활 못 해! YOLO! 골드 부활 못 해! YOLO!"
"kor_million_dollar_house"			"10억짜리 꿈의 고리! 15억짜리 꿈의 고리!"

//ch
"duiyou_ne"							"啊，队友呢？队友呢？队友呢？！队友呢？！？！"
"wan_bu_liao_la"					"玩不了啦!"
"po_liang_lu"						"破两路更好打, 是吧?"
"tian_huo"							"天火!"
"jia_you"							"加油!"
"zou_hao_bu_song"					"走好, 不送"
"liu_liu_liu"						"这波不亏"

//ch2
"hu_lu_wa"							"葫芦娃救爷爷"
"ni_qi_bu_qi"						"你气不气?"
"gao_fu_shuai"						"这就是高富帅啊"
"gan_ma_ne_xiong_di"				"干嘛呢兄弟"
"bai_tuo_shei_qu"					"拜托谁去杀了他吧"
"piao_liang"						"漂~ 亮！"
"lian_dou_xiu_wai_la"				"脸都秀歪啦"
"zai_jian_le_bao_bei"				"再见了宝贝儿！"
