"Refresh_Msg"	"Hero Refreshed"
"LevelUp_Msg"	"Hero Levelled Up"
"MaxLevel_Msg"	"Hero Maxed Out"
"FreeSpellsOn_Msg"	"Free Spells: On"
"FreeSpellsOff_Msg"	"Free Spells: Off"
"InvulnerabilityOn_Msg"	"Invulnerability: On"
"InvulnerabilityOff_Msg"	"Invulnerability: Off"
"SpawnAlly_Msg"	"Ally Spawned"
"SpawnEnemy_Msg"	"Enemy Spawned"
"MaxEnemies_Msg"	"Can't spawn more enemies"
"EnemyNotSetup_Msg"	"Please select an enemy hero first"
"LevelUpEnemy_Msg"	"Enemies Levelled Up"
"SpawnDummyTarget_Msg"	"Dummy Target Spawned"
"RemoveSpawnedUnits_Msg"	"Removed Spawned Units"
"LaneCreepsOn_Msg"	"Lane Creeps: On"
"LaneCreepsOff_Msg"	"Lane Creeps: Off"
"DemoOptions_MinimizeButton"	"Demo Options"
"DemoOptions_UnMinimizeButton"	"  >&#xD;&#xD;&#xD;&#xD;  >"
"Hero_ButtonCategory"	"Hero"
"Spawn_ButtonCategory"	"Spawn"
"Misc_ButtonCategory"	"Customize"
"Playback_ButtonCategory"	""
"Refresh_Button"	"Refresh"
"LevelUp_Button"	"Level Up"
"MaxLevel_Button"	"Level to Max"
"FreeSpells_Button"	"Free Spells"
"Invulnerability_Button"	"Invulnerability"
"Enemy_Button"	"Enemy"
"SelectHero_Button"	"Select Enemy Hero"
"LevelUpEnemy_Button"	"Level Up Enemy"
"DummyTarget_Button"	"Dummy Target"
"RemoveSpawns_Button"	"Remove Spawns"
"SelectCosmetics_Button"	"Equip New Items"
"ChangeHero_Button"	"Select New Hero"
"PauseDemo_Button"	"Pause"
"QuitDemo_Button"	"Quit"
"CopySelection_Button"	"Copy Selected Hero"
"Respawn_Button"	"Wear Respawn"
"NoCreep_Button"	"No Creep"
"PleaseSelectAllyHero"	"Please Select Ally Hero"
"Frantic_Button"		"Frantic (40%)"
