//Ancient Apparition
"DOTA_Tooltip_ability_imba_ancient_apparition_cold_feet_Imbafication_1"				"<font color='#FF7800'>Thoroughly Chilled:</font> Also disables healing during the stun duration."
"DOTA_Tooltip_ability_imba_ancient_apparition_cold_feet_Imbafication_2"				"<font color='#FF7800'>Pole Transferral:</font> Any allies of the Cold Feet target that interact with them (such as through a move command or targeted ability cast) also receive the target's current Cold Feet debuff for its remaining duration."

"DOTA_Tooltip_ability_imba_ancient_apparition_cold_feet_Note0"						"Deals damage every second."
"DOTA_Tooltip_ability_imba_ancient_apparition_cold_feet_Note1"						"Pole Transferral applies a fresh debuff if the target that transfers it is still affected by the first phase."
"DOTA_Tooltip_ability_imba_ancient_apparition_cold_feet_Note2"						"Pole Transferral applies the stun/freeze equal to remaining duration if the target that transfers it is stunned/frozen."

"DOTA_Tooltip_ability_imba_ancient_apparition_ice_vortex_Imbafication_1"			"<font color='#FF7800'>Ice Drifter:</font> Boosts movement speed of allies by the same amount."

"DOTA_Tooltip_modifier_ice_slide"													"Sliding On Ice"

"DOTA_Tooltip_ability_imba_ancient_apparition_chilling_touch_Description"			"Enchances your attacks with heavy magic damage and slow. Gives increases attack range for this attack.\n<font color='#FF7800'>Packed Ice:</font> Also applies a %packed_ice_duration% second stun on impact."

"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_Imbafication_1"				"<font color='#FF7800'>Absolute Freeze: </font>The debuff is also placed on creeps and illusions.\n"
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_Imbafication_1"				"<font color='#FF7800'>Cold Hearted:</font> Grants %cold_hearted_pct%%% of the sum of health regeneration from all enemies hit by the Ice Blast explosion to Ancient Apparition for the Frostbite duration. The health regeneration is copied from the target after Ice Blast applies its explosion damage, and does not dynamically update."

"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_Note0"						"Upon cast, this ability is replaced by Release, used to stop the tracer on the target area."
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_Note1"						"The area of effect is %radius_min% + %radius_grow%*TimeTraveled, capped at %radius_max%.  The freeze area along the path is %path_radius%."
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_Note2"						"Kill will be granted to the source of the damage that triggers the shatter."
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_Note3"						"The HP Freeze prevents most kinds of healing, including the fountain, except Sunder, Time Lapse and Supernova."
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_Note4"						"Cold Hearted rounds down to the closest whole number. Units with less than 2 HP regeneration will not provide any stacks."

"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_frostbite_duration_scepter"	"SCEPTER FROSTBITTEN DURATION:"
"DOTA_Tooltip_ability_imba_ancient_apparition_ice_blast_scepter_description"	    "Increases frostbite duration."

"DOTA_Tooltip_modifier_imba_ancient_apparition_ice_blast_global_cooling"							"Global Cooling"
"DOTA_Tooltip_modifier_imba_ancient_apparition_ice_blast_global_cooling_Description"				"Move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% for the duration of Ice Blast's Frostbite."

"DOTA_Tooltip_modifier_imba_ancient_apparition_ice_blast_cold_hearted"					"Cold Hearted"
"DOTA_Tooltip_modifier_imba_ancient_apparition_ice_blast_cold_hearted_Description"		"Gaining %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% additional health regeneration."

"DOTA_Tooltip_ability_imba_ancient_apparition_anti_abrasion"							"Anti-Abrasion"
"DOTA_Tooltip_ability_imba_ancient_apparition_anti_abrasion_Description"				"Creates a vortex of icy energy that causes enemies to lose traction and slip around."
"DOTA_Tooltip_ability_imba_ancient_apparition_anti_abrasion_Lore"						"Amidst the cruel, icy winds, even the walking grounds cannot be trusted."
"DOTA_Tooltip_ability_imba_ancient_apparition_anti_abrasion_radius"						"RADIUS:"
"DOTA_Tooltip_ability_imba_ancient_apparition_anti_abrasion_vortex_duration"			"DURATION:"

"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice"							"Imbued Ice"
"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice_Description"				"A frigid gust enchants allied heroes, granting them bonus magical damage for a given number of physical attacks. Each attack slows the enemy movement speed. Ancient Apparition always receives the buff.\n<font color='#FF7800'>Thoroughly Chilled:</font> Also disables healing for the movement speed slow duration."
"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice_Lore"						"The Ancient Apparition's eternal knowledge brings a frigid enchantment to his allies."
"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice_Note0"						"Each attack places a new separate debuff, fully stacking with the slow of other attacks."
"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice_radius"					"BUFF RADIUS:"
"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice_number_of_attacks"			"NUMBER OF ATTACKS:"
"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice_damage_per_attack"			"DAMAGE PER ATTACK:"
"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice_move_speed_slow"			"MOVE SPEED SLOW%:"
"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice_move_speed_duration"		"SLOW DURATION:"
"DOTA_Tooltip_ability_imba_ancient_apparition_imbued_ice_buff_duration"				"BUFF DURATION:"

"DOTA_Tooltip_modifier_imba_ancient_apparition_imbued_ice"							"Imbued Ice"
"DOTA_Tooltip_modifier_imba_ancient_apparition_imbued_ice_Description"				"Attacks deal additional magic damage and cause enemies to be slowed briefly."

"DOTA_Tooltip_modifier_imba_ancient_apparition_imbued_ice_slow"						"Imbued Ice"
"DOTA_Tooltip_modifier_imba_ancient_apparition_imbued_ice_slow_Description"			"Move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, and unable to heal."

"DOTA_Tooltip_modifier_imba_ancient_apparition_cold_feet"									"Cold Feet"
"DOTA_Tooltip_modifier_imba_ancient_apparition_cold_feet_Description"						"Taking periodic damage, if you don't move you will be frozen in place"
"DOTA_Tooltip_modifier_imba_ancient_apparition_cold_feet_charge_counter"	"Cold Feet Charges"
"DOTA_Tooltip_modifier_imba_ancient_apparition_cold_feet_freeze"				"Frozen"
"DOTA_Tooltip_modifier_imba_ancient_apparition_cold_feet_freeze_Description"			"Frozen by Ancient Apparition."
"DOTA_Tooltip_modifier_imba_ancient_apparition_ice_vortex"									"Ice Vortex"
"DOTA_Tooltip_modifier_imba_ancient_apparition_ice_vortex_Description"						"Enemies are slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% move speed and have %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% reduced magic resistance. Allies instead have their move speed increased."
"DOTA_Tooltip_modifier_imba_ancient_apparition_chilling_touch_slow"								"Chilling Touch"
"DOTA_Tooltip_modifier_imba_ancient_apparition_chilling_touch_slow_Description"					"Slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
"DOTA_Tooltip_modifier_imba_ancient_apparition_ice_blast"									"Frostbitten"
"DOTA_Tooltip_modifier_imba_ancient_apparition_ice_blast_Description"						"Taking damage over time and cannot heal or regenerate health.  Will instantly shatter if health drops too low."

"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_chilling_touch_range"				"+{s:value} Chilling Touch Attack Range"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_ice_vortex_cooldown"				"-2.5s Ice Vortex Cooldown"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_chilling_touch_damage"				"Chilling Touch Path"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_chilling_touch_damage_Description"	"+80 Chilling Touch Damage; Unlock Imbued Ice ability"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_ice_vortex_boost"					"Ice Vortex Path"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_ice_vortex_boost_Description"		"+12% Ice Vortex Slow/Resistance; Unlock Anti-Abrasion ability"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_ice_blast_kill_threshold"			"+5% Ice Blast Kill Threshold"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_cold_feet_aoe"						"625 AoE Cold Feet"
