// Anti Mage
// Anti Mage's Mana Break
"DOTA_Tooltip_ability_imba_antimage_mana_break"                        "Mana Break"
"DOTA_Tooltip_ability_imba_antimage_mana_break_Description"            "Burns an opponent's mana on each attack. Mana Break deals %damage_per_burn% damage per mana burned as damage to the target.\n<font color='#FF7800'>Energy Blast:</font> When Anti Mage deals mana burn that causes the current mana pool of the target to fall below a multiplication of %threshold_difference%%, its mana becomes unstable and explodes violently, damaging the target and all nearby enemies in %blast_aoe% radius. The damage is equal to a portion of the target's maximum mana pool. This effect always occurs if the enemy has no mana after the attack is complete."
"DOTA_Tooltip_ability_imba_antimage_mana_break_Note0"                  "Does not work on structures, units naturally without mana, or magic immune targets."
"DOTA_Tooltip_ability_imba_antimage_mana_break_Note1"                  "Mana Break only has %illusion_percentage%%% effect by illusions."
"DOTA_Tooltip_ability_imba_antimage_mana_break_Lore"                    "Thy mana's weight, in life pay."
"DOTA_Tooltip_ability_imba_antimage_mana_break_base_mana_burn"          "MANA BURNED:"
"DOTA_Tooltip_ability_imba_antimage_mana_break_mana_per_hit_pct"		"%MAX MANA BURNED PER HIT:"
"DOTA_Tooltip_ability_imba_antimage_mana_break_max_mana_blast"          "%ENERGY BLAST DAMAGE:"

// Anti Mage's Blink
"DOTA_Tooltip_ability_imba_antimage_blink"                              "Blink"
"DOTA_Tooltip_ability_imba_antimage_blink_Description"                  "Short distance teleportation that allows Anti-Mage to move in and out of combat.\n<font color='#FF7800'>Mana Distortion:</font> Burns %percent_mana_burn%%% of every enemy's current mana in a %radius% radius around the destination. Deals %percent_damage%%% of mana burnt as magic damage, up to a limit."
"DOTA_Tooltip_ability_imba_antimage_blink_Note0"                        "Blink can be used to dodge incoming projectiles."
"DOTA_Tooltip_ability_imba_antimage_blink_Lore"                        "In his encounter with the Dead Gods, Anti-Mage learned the value of being elusive."
"DOTA_Tooltip_ability_imba_antimage_blink_percent_blink_range"          "#{DOTA_Tooltip_ability_antimage_blink_blink_range}"
"DOTA_Tooltip_ability_imba_antimage_blink_radius"                      "#{DOTA_Tooltip_ability_filler_ability_radius}"
"DOTA_Tooltip_ability_imba_antimage_blink_mana_burn_limit"              "MAX MANA DISTORTION DAMAGE:"

"DOTA_Tooltip_modifier_imba_antimage_blink_charges"                    "Blink Charges"
