// Bloodseeker's Bloodrage
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage"                      "Bloodrage"
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_Description"          "Drives a unit into a bloodthirsty rage during which it deals, and receives, increased damage. Killing bloodraged units or killing units while bloodraged results in the killer being healed by a percentage of the victim's maximum health.\n<font color='#FF7800'>Boiling Blood:</font> Units affected by Bloodrage take damage every second, and also deal this damage to all units within %aoe_radius% radius. Bloodseeker's allies only take %allied_damage%%% of the damage. Denying allies triggers the kill heal."
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_Lore"                  "Strygwyr shares his animalistic thirst for bloodshed."
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_Note0"                "Amplifies all damage, regardless of type."
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_Note1"                "Amplification is halved whenever damage dealer and receiver are further than 2200 units apart."
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_Note2"                "Whenever Bloodseeker's target deals damage to someone from his own team, the damage is sourced to Bloodseeker instead of the target."
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_duration"              "#{DOTA_Tooltip_ability_fountain_glyph_duration}"
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_damage_increase_pct"               "%DAMAGE AMPLIFICATION:"
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_health_bonus_pct"                  "%KILLED UNIT MAX HP TO HEAL:"
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_aoe_damage"            "BOILING BLOOD DAMAGE:"
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_cast_range_tooltip"                "CAST RANGE:"

"DOTA_Tooltip_modifier_imba_bloodrage_buff_stats"                      "Bloodrage"
"DOTA_Tooltip_modifier_imba_bloodrage_buff_stats_Description"          "Taking and dealing increased damage. Also dealing damage over time to yourself and nearby units."

"DOTA_Tooltip_modifier_imba_bloodrage_blood_frenzy"                    "Blood Frenzy"
"DOTA_Tooltip_modifier_imba_bloodrage_blood_frenzy_Description"                     "In a frenzy! Moving extremely fast with no limits!"

// Bloodseeker's Blood Rite
"DOTA_Tooltip_ability_imba_bloodseeker_blood_bath"                      "Blood Rite"
"DOTA_Tooltip_ability_imba_bloodseeker_blood_bath_Description"          "Bloodseeker baptizes an area in sacred blood. After %delay_plus_castpoint_tooltip% seconds, the ritual completes, causing any enemies caught in its area to take damage and become silenced.\n<font color='#FF7800'>Sacrificial Lamb:</font> Heroes that die while silenced by Blood Rite will reduce Bloodseeker's cooldowns by %cooldown_reduction%%%.\n<font color='#FF7800'>Nanauatzin:</font> Bloodseeker gains %dmg_to_overheal%%  of the total damage dealt by Blood Rite as maximum and current health for %overheal_duration% seconds."
"DOTA_Tooltip_ability_imba_bloodseeker_blood_bath_Lore"                "The Flayed Twins are ever willing to aid those who spill blood upon the field of battle."
"DOTA_Tooltip_ability_imba_bloodseeker_blood_bath_radius"              "#{DOTA_Tooltip_ability_filler_ability_radius}"
"DOTA_Tooltip_ability_imba_bloodseeker_blood_bath_silence_duration"                 "SILENCE DURATION:"
"DOTA_Tooltip_ability_imba_bloodseeker_blood_bath_damage"              "#{DOTA_Tooltip_ability_antimage_mana_void_mana_void_damage_per_mana}"

"DOTA_Tooltip_modifier_imba_blood_bath_debuff_silence"                  "Blood Rite"
"DOTA_Tooltip_modifier_imba_blood_bath_debuff_silence_Description"                  "Silenced. Dying will reduce Bloodseeker's cooldowns."

"DOTA_Tooltip_modifier_imba_blood_bath_buff_stats"                      "Nanauatzin"
"DOTA_Tooltip_modifier_imba_blood_bath_buff_stats_Description"          "Gains bonus max health based on the damage dealt to enemies through Blood Rite."

// Bloodseeker's Thirst
"DOTA_Tooltip_ability_imba_bloodseeker_thirst"                          "Thirst"
"DOTA_Tooltip_ability_imba_bloodseeker_thirst_Description"              "Bloodseeker is invigorated by the wounds of his enemies, gaining bonus movement speed and attack speed whenever an enemy hero's health falls below %max_threshold_pct%%%, with the bonuses increasing as their health falls further. If an enemy hero's health falls below %visibility_threshold_pct%%%, he will also gain vision and True Sight of that hero. Bonuses stack per hero.\n<font color='#FF7800'>Sanguinary:</font> Whenever an enemy hero is damaged, Bloodseeker also gains a smaller amount of attack speed and movement speed for %atk_buff_duration% seconds. These bonuses are doubled when the attacker is Bloodseeker himself. Those bonuses stack when attacking different heroes, and will override if the new bonus is higher.\n<font color='#FF7800'>Illusionary Thirst:</font> Illusions fully benefit from Thirst's effects."
"DOTA_Tooltip_ability_imba_bloodseeker_thirst_Lore"                    "Strygwyr becomes frenzied when blood is spilled."
"DOTA_Tooltip_ability_imba_bloodseeker_thirst_bonus_movement_speed"                 "%MAX MOVE SPEED PER HERO:"
