"DOTA_Tooltip_modifier_imba_earths_mark"								"Earth's Mark"
"DOTA_Tooltip_modifier_imba_earths_mark_Description"					"Susceptible to extra effects from Earth Spirit's spells. Magic resistance reduced by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."

"DOTA_Tooltip_modifier_imba_earth_spirit_stone_caller_charge_counter"	"Stone Remnant Charges"
"DOTA_Tooltip_modifier_imba_earth_spirit_stone_caller_charge_counter_Description"	"Amount of no cost remnants available before Overdraw. Charges slowly restore over time."

"DOTA_Tooltip_modifier_imba_earth_spirit_remnant_handler"				"Overdraw Cooldown"

"DOTA_Tooltip_modifier_imba_stone_remnant"								"Enhchanted Remnant"
"DOTA_Tooltip_modifier_imba_stone_remnant_Description"					"Petrified!"

"DOTA_Tooltip_modifier_imba_rolling_boulder_slow"						"Slowed"
"DOTA_Tooltip_modifier_imba_rolling_boulder_disarm"						"Disarmed"

"DOTA_Tooltip_modifier_imba_geomagnetic_grip_silence"					"Silenced"
"DOTA_Tooltip_modifier_imba_geomagnetic_grip_root"						"Rooted"

"DOTA_Tooltip_modifier_imba_magnetize"									"Magnetized"
"DOTA_Tooltip_modifier_imba_magnetize_Description"						"Taking periodic damage. Being too close to a stone remnant will refresh the duration."

"DOTA_Tooltip_Ability_imba_earth_spirit_stone_caller_Imbafication_1"				"<font color='#FF7800'>Overdraw:</font> Earth Remnants can be placed indefinitely, but placing one when there are more than a certain amount active will cost mana, and destroy the oldest one active. Mana cost will increase with each subsequent cast, but not placing a remnant for a certain time will reset the cost."
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_caller_Imbafication_2"				"<font color='#FF7800'>Earth's Mark:</font> Earth Spirit's attacks and abilities refresh, and apply an Earth's Mark stack on the target. Spells have additional effects when the target is marked."
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_caller_Imbafication_3"				"<font color='#FF7800'>Marked Spot:</font> Marks enemies in a small radius around the Stone Remnants landing point, as well as revealing the area for a short duration."
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_caller_Imbafication_4"				"<font color='#FF7800'>Stone Replenish:</font> Destroyed Stone Remnants immediately add back to the free remnant counter."
"DOTA_Tooltip_Ability_imba_earth_spirit_stone_caller_aghanim_description"			"Grants a new ability: Enchant Remnant."

"DOTA_Tooltip_Ability_imba_earth_spirit_boulder_smash_Imbafication_1"				"<font color='#FF7800'>Marked Enemy:</font> Deals bonus %mark_stack_damage% damage per Earth's Mark stack."

"DOTA_Tooltip_Ability_imba_earth_spirit_rolling_boulder_Imbafication_1"				"<font color='#FF7800'>Blunting Stone:</font> Disarms hit enemies for %disarm_duration_per_mark% seconds per Earth's Mark stack."

"DOTA_Tooltip_Ability_earth_spirit_geomagnetic_grip_Description"					"Earth Spirit pulls the target Stone Remnant <font color='#FF7800'>or ally</font>. Enemies struck by the gripped target will be silenced, and take damage if the gripped target is a Stone Remnant."
"DOTA_Tooltip_Ability_imba_earth_spirit_geomagnetic_grip_Imbafication_1"			"<font color='#FF7800'>Sink Hole:</font> Roots hit targets for %root_time_per_mark% seconds per Earth's Mark stack."

"DOTA_Tooltip_Ability_imba_earth_spirit_magnetize_Imbafication_1"					"<font color='#FF7800'>Earth's Wrath:</font> Constantly refreshes Earth's Mark duration and deals %mark_damage_per_sec_per_stack% increased damage per second per stack. Exploding Stone Remnants apply an Earth's Mark stack."

"DOTA_Tooltip_Ability_imba_earth_spirit_petrify_Imbafication_1"						"<font color='#FF7800'>Potent Stone:</font> Ignores status resistance and spell absorb."

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_1"                    "Eyes of the Mountain"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_1_Description"		"Stone Remnant vision radius is reduced to 200, but it now follows the Remnant."

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_2"                    "Can't Stop The Rock"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_2_Description"		"Rolling Boulder disjoints projectiles and makes you invulneruable."

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_3"                    "Mineral Healing"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_3_Description"		"Magnetized enemies heal you for (5 * Earth Marks) every damage tick."

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_4"					"Earth's Mark Upgrade"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_4_Description"		"Earth's Mark reduces magic resistance by {s:value}% per stack."

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_5"					"-10s Overdraw Cooldown"

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_6"                    "+3 free Stone Remnants"

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_7"                    "Eternal Mark"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_7_Description"		"Earth's Mark is unpurgeable, and its duration is frozen while the target is spell immune."

"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_8"                    "Unrelenting Mark"
"DOTA_Tooltip_Ability_special_bonus_imba_earth_spirit_8_Description"		"Skills don't refresh Earth's Mark, but stacks decay one by one instead of all at once."

"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_geomagnetic_grip_silence_duration"	"+{s:value}s Geomagnetic Grip Silence"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_magnetize_unpurgable"					"Magnetize is Unpurgable"
