"npc_dota_hero_hell_empress"			"Hellion"
"npc_dota_hero_hell_empress_hype"		"Hellion, the ninth general of the ninth circle of Hell, is widely considered the most powerful demon outside of the Umbral Pact. His strong, unique brand of magic is chaotic and unpredictable, but will always result in enfeeblements and massive damage to all enemies in his presence."

"DOTA_Tooltip_ability_imba_empress_eleven_curses"           "Eleven Curses"
"DOTA_Tooltip_ability_imba_empress_eleven_curses_Description"     "<font color='#C00000'>Curses</font> enemies in the target area for %stack_duration% seconds, causing them to take more damage from all sources. Eleven Curses stacks with itself, up to %max_stacks% times."
"DOTA_Tooltip_ability_imba_empress_eleven_curses_Lore"          "Hellion's Cleaver curses the enemy from afar, making it vulnerable to any sort of attack."
"DOTA_Tooltip_ability_imba_empress_eleven_curses_damage_amp"      "%DAMAGE AMP:"
"DOTA_Tooltip_ability_imba_empress_eleven_curses_curse_stacks"      "STACKS PER CAST:"
"DOTA_Tooltip_ability_imba_empress_eleven_curses_effect_radius"     "EFFECT RADIUS:"

"DOTA_Tooltip_modifier_imba_eleven_curses"                "Eleven Curses"
"DOTA_Tooltip_modifier_imba_eleven_curses_Description"          "Taking %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%% bonus damage from all sources."

"DOTA_Tooltip_ability_imba_empress_hellbolt"              "Hellbolt"
"DOTA_Tooltip_ability_imba_empress_hellbolt_Description"        "Launches a Hellbolt towards all nearby enemies, dealing damage. <font color='#C00000'>Cursed</font> enemies receive extra damage based the amount of curse stacks. This effects consumes the enemy's <font color='#C00000'>curse</font>."
"DOTA_Tooltip_ability_imba_empress_hellbolt_Lore"           "A Bolt of chaotic energy seeps from the depths towards the unfortunate enemies of Hellion."
"DOTA_Tooltip_ability_imba_empress_hellbolt_base_damage"        "BASE DAMAGE:"
"DOTA_Tooltip_ability_imba_empress_hellbolt_bonus_damage"       "%BONUS DAMAGE PER STACK:"
"DOTA_Tooltip_ability_imba_empress_hellbolt_target_radius"        "ENEMY DETECTION RANGE:"

"DOTA_Tooltip_ability_imba_empress_royal_wrath"             "Royal Wrath"
"DOTA_Tooltip_ability_imba_empress_royal_wrath_Description"       "Whenever you are damaged and this ability is off-cooldown, the attacker and its nearby allies will be <font color='#C00000'>cursed</font>, and Hellbolt's current cooldown (if any) will decrease by %hellbolt_cdr% seconds."
"DOTA_Tooltip_ability_imba_empress_royal_wrath_Lore"          "Eye for an eye is the only justice in Hell. Or both eyes for a slight scratch, that works, too."

"DOTA_Tooltip_ability_imba_empress_hurl_through_hell"             "Hurl Through Hell"
"DOTA_Tooltip_ability_imba_empress_hurl_through_hell_Description"       "Sends all enemies in the area to the depths of Hell, where they are invulnerable for %hurl_duration% seconds (ignores status resistance). After coming back, the effects of the trip manifest: enemies are affected by <font color='#C00000'>Eleven Curses</font>, take magical damage, and are afflicted with two random debuffs from the following list:\n\nDisarm, Root, Silence, Mute, Break, or %slow_pct%%% attack/movement slow."
"DOTA_Tooltip_ability_imba_empress_hurl_through_hell_Lore"            "Hellion's poor enemies benefit from a quick trip to the Eight Circle, where every cell of their being screams against the anathema of lava, biting cold, acid fog and ear-splitting wailing. Reactions vary, but are always dramatic."
"DOTA_Tooltip_ability_imba_empress_hurl_through_hell_Note0"           "Hurl Through Hell's initial effect and debuffs pierce spell immunity."
"DOTA_Tooltip_ability_imba_empress_hurl_through_hell_hurl_radius"       "EFFECT RADIUS:"
"DOTA_Tooltip_ability_imba_empress_hurl_through_hell_hurl_damage"       "#{DOTA_Tooltip_ability_antimage_mana_void_mana_void_damage_per_mana}"
"DOTA_Tooltip_ability_imba_empress_hurl_through_hell_debuff_duration"     "#{DOTA_Tooltip_ability_vengefulspirit_wave_of_terror_tooltip_duration}"
"DOTA_Tooltip_ability_imba_empress_hurl_through_hell_cast_range"        "CAST RANGE:"
"DOTA_Tooltip_ability_imba_empress_hurl_through_hell_aghanim_description"   "Causes targets to be affected by four random debuffs instead of two."

"DOTA_Tooltip_modifier_imba_hurl_through_hell_slow"               "Hurl Through Hell"
"DOTA_Tooltip_modifier_imba_hurl_through_hell_slow_Description"         "Attack/movement speeds slowed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% / %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"

"DOTA_Tooltip_modifier_imba_hurl_through_hell_root"               "Hurl Through Hell"
"DOTA_Tooltip_modifier_imba_hurl_through_hell_root_Description"         "Rooted"

"DOTA_Tooltip_modifier_imba_hurl_through_hell_disarm"             "Hurl Through Hell"
"DOTA_Tooltip_modifier_imba_hurl_through_hell_disarm_Description"       "Disarmed"

"DOTA_Tooltip_modifier_imba_hurl_through_hell_silence"              "Hurl Through Hell"
"DOTA_Tooltip_modifier_imba_hurl_through_hell_silence_Description"        "Silenced"

"DOTA_Tooltip_modifier_imba_hurl_through_hell_mute"               "Hurl Through Hell"
"DOTA_Tooltip_modifier_imba_hurl_through_hell_mute_Description"         "Muted"

"DOTA_Tooltip_modifier_imba_hurl_through_hell_break"              "Hurl Through Hell"
"DOTA_Tooltip_modifier_imba_hurl_through_hell_break_Description"        "Passives disabled"
