//=================================================================================================================
// Invoker  -- All spells are vanilla spelld. We only need tooltip for modifiers and talents
//=================================================================================================================
"DOTA_Tooltip_modifier_imba_invoker_chaos_meteor_burn"							"CHAOS METEOR BURN"
"DOTA_Tooltip_modifier_imba_invoker_chaos_meteor_burn_description"				"Takeing damage every second."
"DOTA_Tooltip_Ability_imba_invoker_invoke"										"INVOKE"
"DOTA_Tooltip_Ability_imba_invoker_invoke_description"							"Combines the properties of the elements currently being manipulated to create a new spell for Invoker to use."
"DOTA_Tooltip_Ability_imba_invoker_invoke_lore"									"So begins a new age of knowledge."
"DOTA_Tooltip_Ability_imba_invoker_invoke_note0"								"The arrangment of instances does not matter. Invoke will not cost mana of go on cooldown if the only effect is to swap the positions of existing spells."
"DOTA_Tooltip_Ability_imba_invoker_invoke_max_invoked_spells"					"MAX SPELLS:"
"DOTA_Tooltip_Ability_imba_forged_spirit_melting_strike"						"MELTING STRIKE"
"DOTA_Tooltip_Ability_imba_forged_spirit_melting_strike_description"			"Melts away the armor of heroes hit by the spirit's attack if the spirit has enough mana. Each successive hit increases the amount of armor melted."
"DOTA_Tooltip_Ability_imba_forged_spirit_melting_strike_armor_removed"			"Armor Reduction per Attack:"
"DOTA_Tooltip_Ability_imba_forged_spirit_melting_strike_max_armor_removed"		"Armor Reduction Cap:"
"DOTA_Tooltip_Ability_imba_forged_spirit_melting_strike_duration"				"Duration:"
"DOTA_Tooltip_modifier_imba_forged_spirit_melting_strike"						"MELTING STRIKE"
"DOTA_Tooltip_modifier_imba_forged_spirit_melting_strike_description"			"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
"DOTA_Tooltip_modifier_imba_invoker_ice_wall_slow"								"ICE WALL"
"DOTA_Tooltip_modifier_imba_invoker_ice_wall_slow_description"					"Slowed by the wall of ice."
"DOTA_Tooltip_modifier_imba_invoker_cold_snap"									"COLD SNAP"
"DOTA_Tooltip_modifier_imba_invoker_cold_snap_description"						"When damaged, will take additional damage and will be frozen briefly."
"DOTA_Tooltip_modifier_imba_invoker_alacrity"									"ALACRITY"
"DOTA_Tooltip_modifier_imba_invoker_alacrity_description"						"Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% and damage increased by %dMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%."
