"npc_dota_hero_mars"						"Mars (IMBA)"

// Spear of Mars
"DOTA_Tooltip_ability_imba_mars_spear_Imbafication_1"					"<font color='#FF7800'>Heaven Spear:</font> When auto-cast is on, Mars calls a spear falling from the sky after a delay of %heaven_spear_delay%s, stunning the closest unit within %heaven_spear_radius% radius and knockback other units in range by %heaven_spear_knockback%. Heaven Spear can be cast globally."
"DOTA_Tooltip_ability_imba_mars_spear_Imbafication_2"					"<font color='#FF7800'>Trailblazer:</font> Spear leaves a burning trail in its wake. The trail lasts for %trailblazer_duration% seconds and burns enemies for %trailblazer_damage_pct%% of Spear's damage per second. When auto-cast is on, deals 25% of spear's damage within %heaven_spear_radius% radius of Heaven Spear land position for %trailblazer_duration% seconds."

// God's Rebuke
"DOTA_Tooltip_ability_imba_mars_gods_rebuke_Imbafication_1"				"<font color='#FF7800'>Strong Argument:</font> God's Rebuke grants Mars %strong_argument_bonus_strength% strength for %strong_argument_duration% seconds for each enemy heroes hit."
// "DOTA_Tooltip_ability_imba_mars_gods_rebuke_Imbafication_2"			"<font color='#FF7800'>Ancile's Soul:</font> God's Rebuke damage is increased by 'Jupiter Strength' stored damage."

"DOTA_Tooltip_ability_imba_mars_gods_rebuke_scepter_description"		"Reduces God's Rebuke cooldown to %imba_scepter_cooldown%."

// Bulwark
"DOTA_Tooltip_ability_imba_mars_bulwark_Imbafication_1"					"<font color='#FF7800'>Spiked Shield:</font> During active Bulwark, Mars deals 20% of his attack damage to enemies that are attacking him from the front."
"DOTA_Tooltip_ability_imba_mars_bulwark_Imbafication_2"					"<font color='#FF7800'>Jupiter's Strength:</font> Store %jupiters_strength_stored_damage_pct%% of damage blocked for %jupiters_strength_duration% seconds. Adds bonus damage to God's Rebuke when casted."

"DOTA_Tooltip_modifier_imba_mars_bulwark_jupiters_strength"				"Jupiter's Strength"
"DOTA_Tooltip_modifier_imba_mars_bulwark_jupiters_strength_Description"	"Store %jupiters_strength_stored_damage_pct%% damage blocked, add these stored damage to God's Rebuke."

// Arena of Blood
"DOTA_Tooltip_ability_imba_mars_arena_of_blood_Imbafication_1"			"<font color='#FF7800'>Divine Call:</font> Invoke a divine shield around the arena that can't be bypassed by any means."
"DOTA_Tooltip_ability_imba_mars_arena_of_blood_Imbafication_2"			"<font color='#FF7800'>Coliseum:</font> Allies inside the Arena gain %coliseum_bonus_damage% bonus damage and %coliseum_bonus_attack_speed% bonus attack speed for each ally inside. max stacks 5."

"DOTA_Tooltip_ability_imba_mars_arena_of_blood_scepter_description"		"Battle Thrust: Mars now jumps up to 900 range away unleashing arena of blood when reaching cast position."

// Custom Talents
"DOTA_Tooltip_Ability_special_bonus_imba_mars_1"						"Full Circle"
"DOTA_Tooltip_Ability_special_bonus_imba_mars_1_Description"			"God's Rebuke deals damage in a full circle around Mars."
"DOTA_Tooltip_Ability_special_bonus_imba_mars_2"						"Stunning Rebuke"
"DOTA_Tooltip_Ability_special_bonus_imba_mars_2_Description"			"Stuns enemies while being knockbacked."
