"npc_dota_hero_scaldris"			"Scaldris"
"npc_dota_hero_scaldris_hype"		"Invoker's self-declared rival, Scaldris can manipulate fiery and cold essences with unparalleled mastery, switching between both with a snap of his fingers. His spells have both a fire, damaging aspect, and an ice, control-oriented one. His quirky double ultimate, Living Flame/Absolute Zero, provides both high aoe damage and strong single-target control."
"npc_dota_hero_scaldris_npedesc1"	"How to play: Just roll your head on the keyboard (Oh he have no head btw)"

"DOTA_Tooltip_ability_imba_scaldris_antipode"           "Antipode"
"DOTA_Tooltip_ability_imba_scaldris_antipode_Description"     "Scaldris' spells have a dual nature; he picks one of two elemental aspects when casting them.\n\nCasting the <font color='#FF7800'>fire</font> version of a spell switches it aspect to <font color='#427CFF'>cold</font>, and vice-versa.\n\nAdditionally, hitting a target with a <font color='#FF7800'>fire</font> spell causes any existing <font color='#427CFF'>cold</font>-based damage over time effects to end, dealing all their remaining damage instantly. The reverse is also true."
"DOTA_Tooltip_ability_imba_scaldris_antipode_Lore"          "The Antipode's signature style is to torment his enemies with an incessant barrage of alternating blazing and freezing energies, causing victims' bodies to collapse repeatedly into thermal shock."
"DOTA_Tooltip_ability_imba_scaldris_antipode_Note0"         "Each of the spells' elemental aspects has an independent cooldown."
"DOTA_Tooltip_ability_imba_scaldris_antipode_Note1"         "Aghanim's Scepter refresh mechanic must be able to spend at least 1 mana."

"DOTA_Tooltip_ability_imba_scaldris_antipode_scepter_description"		"Antipode can now be cast to swap all abilities to their other elemental aspect. Additionally, killing any real enemy hero refreshes the cooldown of the most recently cast ability."
//"DOTA_Tooltip_ability_imba_scaldris_antipode_scepter_max_mana_pct_cost"	"%SCEPTER % OF MAX MANA COST PER ABILITY:"
//"DOTA_Tooltip_ability_imba_scaldris_antipode_scepter_refresh_chance"	"%SCEPTER REFRESH CHANCE:"

"DOTA_Tooltip_ability_imba_scaldris_heatwave"           "Heatwave"
"DOTA_Tooltip_ability_imba_scaldris_heatwave_Description"     "Launches a wave of smoldering hot air in a straight line. Deals <font color='#FF7800'>fire</font> damage to any enemies hit."
"DOTA_Tooltip_ability_imba_scaldris_heatwave_Lore"          "A quick incantation turns a soft breeze into a wall of heat."
"DOTA_Tooltip_ability_imba_scaldris_heatwave_Note0"         "Grants a brief moment of vision as the projectile travels."
"DOTA_Tooltip_ability_imba_scaldris_heatwave_wave_radius"     "EFFECT RADIUS:"
"DOTA_Tooltip_ability_imba_scaldris_heatwave_wave_distance"     "MAXIMUM RANGE:"
"DOTA_Tooltip_ability_imba_scaldris_heatwave_duration"        "DAMAGE DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_heatwave_dps"         "DAMAGE PER SECOND:"

"DOTA_Tooltip_modifier_imba_heatwave_dps"             "Heatwave"
"DOTA_Tooltip_modifier_imba_heatwave_dps_Description"       "Taking fire damage over time"

"DOTA_Tooltip_ability_imba_scaldris_cold_front"           "Cold Front"
"DOTA_Tooltip_ability_imba_scaldris_cold_front_Description"     "Launches a ball of cold energy towards the target location. Upon reaching it, the ball explodes, dealing <font color='#427CFF'>cold</font> damage and rooting any enemies hit."
"DOTA_Tooltip_ability_imba_scaldris_cold_front_Lore"        "A common magic party trick, usually known as 'winter-in-a-ball', weaponized by Scaldris' raw might."
"DOTA_Tooltip_ability_imba_scaldris_cold_front_Note0"       "The projectile travels at 450 speed. Grants vision of the blast area for a short duration."
"DOTA_Tooltip_ability_imba_scaldris_cold_front_blast_radius"    "BLAST RADIUS:"
"DOTA_Tooltip_ability_imba_scaldris_cold_front_root_duration"   "ROOT DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_cold_front_damage_duration"   "DAMAGE DURATION:"
"DOTA_Tooltip_ability_imba_scaldris_cold_front_dps"         "DAMAGE PER SECOND:"

"DOTA_Tooltip_modifier_imba_cold_front_root"            "Cold Front"
"DOTA_Tooltip_modifier_imba_cold_front_root_Description"      "Rooted and unable to move"

"DOTA_Tooltip_modifier_imba_cold_front_dps"             "Cold Front"
"DOTA_Tooltip_modifier_imba_cold_front_dps_Description"       "Taking ice damage over time"

"DOTA_Tooltip_ability_imba_scaldris_scorch"             "Scorch"
"DOTA_Tooltip_ability_imba_scaldris_scorch_Description"       "Summons blazing flames that scorch all nearby enemies, dealing <font color='#FF7800'>fire</font> damage and blinding them."
