////===============================================================================================================
// Shadow Shaman
////===============================================================================================================

"DOTA_Tooltip_ability_imba_shadow_shaman_ether_shock"								"Ether Shock"
"DOTA_Tooltip_ability_imba_shadow_shaman_ether_shock_Description"					"Creates a cone of ethereal energy that strikes multiple enemy units.\n<font color='#FF7800'>Joy Buzzer:</font> Mini-stuns enemies for %joy_buzzer_stun_duration% seconds %joy_buzzer_instances% times, with a %joy_buzzer_off_duration% second delay between each buzz.\n<font color='#FF7800'>Dramatic Entrance:</font> If lingering in and cast within %dramatic_fog_duration% seconds of leaving the fog of war, also mutes targets for %dramatic_mute_duration% seconds."
"DOTA_Tooltip_ability_imba_shadow_shaman_ether_shock_Lore"							"Originally used to open shows with the travelling con-man, Rhasta's lightning display shocks adversaries in more ways than one."
"DOTA_Tooltip_ability_imba_shadow_shaman_ether_shock_Note0"							"Can hit secondary targets up to 1000 distance away."
"DOTA_Tooltip_ability_imba_shadow_shaman_ether_shock_Note1"							"Joy Buzzer ignores status resistance."
"DOTA_Tooltip_ability_imba_shadow_shaman_ether_shock_Note2"							"Dramatic Entrance checks if the caster is on Radiant on Dire, and designates fog of war with respect to the opposite team."
"DOTA_Tooltip_ability_imba_shadow_shaman_ether_shock_targets"						"TARGETS:"
"DOTA_Tooltip_ability_imba_shadow_shaman_ether_shock_damage"							"DAMAGE:"
"DOTA_Tooltip_ability_imba_shadow_shaman_voodoo"										"Hex"
"DOTA_Tooltip_ability_imba_shadow_shaman_voodoo_Description"							"Transforms an enemy unit into a harmless creature, disabling their attacks and abilities.\n<font color='#FF7800'>Deprecation:</font> Enemies within %deprecation_radius% radius and facing the Hexed target (within %deprecation_angle% degrees) are stunned and constantly turn towards the source of humiliation for Hex's duration. The trance can be broken early if they receive a single instance of damage equal to or greater than %deprecation_threshold%%% of their max health (after reductions). Deprecation does not affect magic-immune enemies. \n<font color='#FF7800'>Cucco:</font> Can be set to auto-cast to allow Hex to be self-cast. Casting Hex in this fashion does not disarm Shadow Shaman, and grants the following changes for Hex's duration:\n<b>Attack Range:</b> Reduced to %cucco_attack_range%<br><b>Attack Speed:</b> Increased by %cucco_attack_speed%<br><b>Base Attack Time:</b> Reduced to (a minimum of) %cucco_base_attack_time%<br><b>Base Movement Speed:</b> Increased to (a minimum of) %cucco_move_speed%"
"DOTA_Tooltip_ability_imba_shadow_shaman_voodoo_Lore"								"Rhasta often ended performances by turning himself into a chicken - now, the humiliation is shared."
"DOTA_Tooltip_ability_imba_shadow_shaman_voodoo_Note0"								"Instantly destroys illusions."
"DOTA_Tooltip_ability_imba_shadow_shaman_voodoo_Note1"								"The target will have a base movement speed of 100, but buffs granting maximum movement speed won't be disabled."
"DOTA_Tooltip_ability_imba_shadow_shaman_voodoo_Note2"								"Hex disables damage block."
"DOTA_Tooltip_ability_imba_shadow_shaman_voodoo_Note3"								"Deprecation is applied as a standard aura."
"DOTA_Tooltip_ability_imba_shadow_shaman_voodoo_duration"							"DURATION:"
"DOTA_Tooltip_ability_imba_shadow_shaman_shackles"									"Shackles"
"DOTA_Tooltip_ability_imba_shadow_shaman_shackles_Description"						"CHANNELED - Magically binds an enemy unit so that it cannot move or attack, while dealing damage over time.\n<font color='#FF7800'>Stronghold:</font> Also affects all valid targets within %stronghold_width% width between Shadow Shaman and the original target.\n<font color='#FF7800'>Swindle:</font> Steals %swindle_gold_per_tick% gold from affected targets per damage tick.\n<font color='#FF7800'>Chariot:</font> Can be set to auto-cast to allow Shackles to target allies, increasing its total channel time by %chariot_channel_multiplier%x. Casting Shackles in this fashion allows Shadow Shaman to latch on and be dragged along with the target, with the rope length being equal to Shackles' cast range. The channeling is broken if the target teleports more than %chariot_break_distance% distance. The target gains %chariot_bonus_move_speed% bonus movement speed while affected by Chariot."
"DOTA_Tooltip_ability_imba_shadow_shaman_shackles_Lore"								"A self-defense incantation, Rhasta developed shackles after his master was slain in the Bleeding Hills."
"DOTA_Tooltip_ability_imba_shadow_shaman_shackles_total_damage"						"TOTAL DAMAGE:"
"DOTA_Tooltip_ability_imba_shadow_shaman_shackles_channel_time"						"MAX DURATION:"

"DOTA_Tooltip_modifier_imba_shadow_shaman_ether_shock_joy_buzzer"					"Joy Buzzer"
"DOTA_Tooltip_modifier_imba_shadow_shaman_ether_shock_joy_buzzer_Description"		"Periodically mini-stunned."
"DOTA_Tooltip_modifier_imba_shadow_shaman_ether_shock_mute"							"Dramatic Entrance"
"DOTA_Tooltip_modifier_imba_shadow_shaman_ether_shock_mute_Description"				"The sudden surprise leaves you muted."
"DOTA_Tooltip_modifier_imba_shadow_shaman_voodoo"				"Voodoo"
"DOTA_Tooltip_modifier_imba_shadow_shaman_voodoo_Description"	"You are a chicken. Cannot attack (unless self-cast) or cast spells."
"DOTA_Tooltip_modifier_imba_shadow_shaman_voodoo_deprecation"				"Hex Deprecation"
"DOTA_Tooltip_modifier_imba_shadow_shaman_voodoo_deprecation_Description"	"Distracted by a chicken."
"DOTA_Tooltip_modifier_imba_shadow_shaman_shackles"				"Shackles"
"DOTA_Tooltip_modifier_imba_shadow_shaman_shackles_Description"	"Shackled.  Cannot move or attack."
