//---------------------------------------------------------------------------
//      Silencer
//---------------------------------------------------------------------------

//---------------------------------------------------------------------------
//      Silencer Arcane Curse
//---------------------------------------------------------------------------
"dota_tooltip_ability_imba_silencer_arcane_curse" "Arcane Curse"
"dota_tooltip_ability_imba_silencer_arcane_curse_base_duration" "BASE DURATION:"
"dota_tooltip_ability_imba_silencer_arcane_curse_curse_slow" "%MOVEMENT SLOW:"
"dota_tooltip_ability_imba_silencer_arcane_curse_damage_per_second" "DAMAGE PER SECOND:"
"dota_tooltip_ability_imba_silencer_arcane_curse_damage_per_stack" "ADDITIONAL DAMAGE PER STACK:"
"dota_tooltip_ability_imba_silencer_arcane_curse_description" "Curses the target area, causing enemies to take damage and have their movement speed slowed. Anytime affected enemies cast a spell, the duration is increased by %penalty_duration% seconds.\n<font color='#FF7800'>Sins of the Cursed:</font> Every time the cursed target casts a spell, the damage dealt by the curse increases by a flat amount."
"dota_tooltip_ability_imba_silencer_arcane_curse_lore" "Nortrom's lack of incantations is less of a problem for him than it is for his adversaries."
"dota_tooltip_ability_imba_silencer_arcane_curse_note0" "Does not damage silenced targets, unless upgraded by Aghanim Scepter."
"dota_tooltip_ability_imba_silencer_arcane_curse_radius" "EFFECT RADIUS:"

//---------------------------------------------------------------------------
//      Silencer Arcane Supremacy
//---------------------------------------------------------------------------
"dota_tooltip_ability_imba_silencer_arcane_supremacy" "Arcane Supremacy"
"dota_tooltip_ability_imba_silencer_arcane_supremacy_description" "Steals %int_steal_amount% intelligence from enemy heroes if they die in %int_steal_range% range or Silencer deals the last hit on them.\n<font color='#FF7800'>Global Dumbification</font> If an enemy dies while under effects of Global Silence, Silencer steals %global_silence_steal% intelligence points regardless of range or the killing unit.\n<font color='#FF7800'>But who silences the Silencer? :</font> Passively reduces the duration of all silences."
"dota_tooltip_ability_imba_silencer_arcane_supremacy_lore" "As the child of prophecy, Nortrom possesses a innate aura that dampens the effects of silences, in addition to sapping the magical strength of the units that die nearby."
