"npc_dota_hero_snapfire"		"#{npc_dota_hero_snapfire} (IMBA)"

"DOTA_Tooltip_ability_imba_snapfire_scatterblast"									"#{DOTA_Tooltip_ability_snapfire_scatterblast}"
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_Description"						"#{DOTA_Tooltip_ability_snapfire_scatterblast_Description}"
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_Lore"								"#{DOTA_Tooltip_ability_snapfire_scatterblast_Lore}"
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_damage"							"#{DOTA_Tooltip_ability_snapfire_scatterblast_damage}"	
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_debuff_duration"					"#{DOTA_Tooltip_ability_snapfire_scatterblast_debuff_duration}"
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_point_blank_range"					"#{DOTA_Tooltip_ability_snapfire_scatterblast_point_blank_range}"
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_movement_slow_pct"					"#{DOTA_Tooltip_ability_snapfire_scatterblast_movement_slow_pct}"
//"DOTA_Tooltip_ability_imba_snapfire_scatterblast_point_blank_dmg_bonus_pct"		"%POINT BLANK BONUS DMG:"

"DOTA_Tooltip_modifier_imba_snapfire_scatterblast_slow"								"#{DOTA_Tooltip_modifier_snapfire_scatterblast_slow}"
"DOTA_Tooltip_modifier_imba_snapfire_scatterblast_slow_Description"					"#{DOTA_Tooltip_modifier_snapfire_scatterblast_slow_Description}"
"DOTA_Tooltip_modifier_imba_snapfire_scatterblast_disarm"							"#{DOTA_Tooltip_modifier_snapfire_scatterblast_disarm}"
"DOTA_Tooltip_modifier_imba_snapfire_scatterblast_disarm_Description"				"#{DOTA_Tooltip_modifier_snapfire_scatterblast_disarm_Description}"

"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie"								"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_Description"					"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_Description}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_Note0"							"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_Note0}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_Lore"							"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_Lore}"
