"npc_dota_hero_sohei"			"Sohei"
"npc_dota_hero_sohei_hype"		"Sohei is a strength hero designed around fast movement and powerful abilities to dodge enemies. He dashes around and reflects projectiles while removing negative effects and building up momentum to slam enemies with powerful blasts knocking them back, and his ultimate that keeps enemies in an area while dealing damage to them"

"DOTA_Tooltip_Ability_sohei_dash"                         "Dash"
"DOTA_Tooltip_Ability_sohei_dash_description"             "Consumes a charge to quickly dash %dash_distance% units in the direction you are facing, granting invincibility for the duration of the dash. Can be used to dash over cliffs and through trees."
"dota_tooltip_ability_sohei_dash_dash_speed"                   "DASH SPEED:"

"DOTA_Tooltip_Ability_sohei_wholeness_of_body"                                  "Wholeness of Body"
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_description"                      "Applies Momentum's knockback on all enemies within %knockback_radius% radius and grants %status_resistance%%% status resistance for %sr_duration% seconds. When the buff expires, Sohei will be healed for a base amount plus a percentage of the damage he took while the buff was active.\n\nDISPEL TYPE: Basic Dispel"
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_guard_duration"                   "DURATION:"
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_post_heal"                        "BASE HEAL:"
"DOTA_Tooltip_Ability_sohei_wholeness_of_body_damage_taken_heal"                "%HEAL PER DAMAGE TAKEN:"

"DOTA_Tooltip_Ability_sohei_momentum"                     "Momentum"
"DOTA_Tooltip_Ability_sohei_momentum_description"         "When auto-cast is on, after moving %trigger_distance% units, your next attack is a guaranteed critical strike, pushing the target %knockback_distance% distance away. If the enemy is pushed into a cliff or tree, they are slowed and stunned, and the knockback stops. If colliding with another enemy, both units are affected."
"DOTA_Tooltip_Ability_sohei_momentum_crit_damage"         "%CRIT DAMAGE:"
"DOTA_Tooltip_Ability_sohei_momentum_movement_slow"       "#{DOTA_Tooltip_ability_queenofpain_shadow_strike_movement_slow}"
"DOTA_Tooltip_Ability_sohei_momentum_slow_duration"       "SLOW DURATION"
"DOTA_Tooltip_Ability_sohei_momentum_stun_duration"       "STUN DURATION:"
"DOTA_Tooltip_Ability_sohei_momentum_knockback_speed"     "KNOCKBACK SPEED:"

"DOTA_Tooltip_Ability_sohei_flurry_of_blows"              "Flurry of Blows"
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_description"  "CHANNELED - Sohei becomes invulnerable, randomly attacking an enemy within radius and triggering Momentum towards the cast center. Ends after either the duration or the maximum amount of attacks have run out."
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_flurry_radius"  		"#{DOTA_Tooltip_ability_filler_ability_radius}"
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_max_attacks"             "ATTACKS:"
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_attack_interval"         "ATTACK INTERVAL:"
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_max_duration"            "MAX DURATION:"

"DOTA_Tooltip_Ability_sohei_palm_of_life"                 "Palm of Life"
"DOTA_Tooltip_Ability_sohei_palm_of_life_description"     "Dashes to a target ally to heal them for a porition of Sohei's current health."
"DOTA_Tooltip_Ability_sohei_palm_of_life_hp_as_heal"                 "%CURRENT HEALTH AS HEAL:"
"DOTA_Tooltip_Ability_sohei_palm_of_life_dash_speed"                 "DASH SPEED:"

// modifiers
"DOTA_Tooltip_modifier_sohei_dash_charges"               "Dash Charges"

"DOTA_Tooltip_modifier_sohei_wholeness_of_body_status"                          "Wholeness of Body"
"DOTA_Tooltip_modifier_sohei_wholeness_of_body_status_description"              "Gaining %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% status resistance, and healing upon expiry."

"DOTA_Tooltip_modifier_sohei_momentum_passive"              "Momentum"
"DOTA_Tooltip_modifier_sohei_momentum_passive_description"  "The next attack will deal bonus damage and knockback."

"DOTA_Tooltip_modifier_sohei_momentum_slow"					"Momentum Slow"

// talents
"DOTA_Tooltip_Ability_special_bonus_sohei_stun"                                 "Momentum Collision Stun"
"DOTA_Tooltip_Ability_special_bonus_sohei_stun_description"                     "Any unit that receives the slow from Momentum collisions now also receives a 0.2 second stun."
"DOTA_Tooltip_Ability_special_bonus_sohei_wholeness_knockback"					"Wholeness of Body Pushes Away Enemies"
"DOTA_Tooltip_Ability_special_bonus_sohei_wholeness_knockback_description"		"Whenever Wholeness of Body is activated, all enemies within 500 radius are stunned and pushed away until they are 500 units away."
"DOTA_Tooltip_Ability_special_bonus_imba_sohei_wholeness_allycast"					"Wholeness of Body can be cast on allies (1200 range)"
"DOTA_Tooltip_Ability_special_bonus_imba_sohei_wholeness_allycast_Description"	"Turns Wholeness of Body into an auto-cast ability; turn it off to make Wholeness of Body a no target ability."
"DOTA_Tooltip_Ability_special_bonus_sohei_dash_recharge"                        "-3s Dash Charge Recovery"
//"DOTA_Tooltip_Ability_special_bonus_sohei_dash_recharge_description"            ""
"DOTA_Tooltip_Ability_special_bonus_sohei_fob_radius"                           "+300 Flurry of Blows Radius"
//"DOTA_Tooltip_Ability_special_bonus_sohei_fob_radius_description"               ""
"DOTA_Tooltip_Ability_special_bonus_imba_sohei_wholeness_of_body_heal"			"+{s:value} Wholeness of Body Base Heal"
"DOTA_Tooltip_Ability_special_bonus_imba_sohei_momentum_duration"				"+{s:value}s Momentum Slow/Stun Duration"
