//SPIRIT BREAKER
"DOTA_Tooltip_ability_imba_spirit_breaker_charge_of_darkness"					"Charge of Darkness"
"DOTA_Tooltip_ability_imba_spirit_breaker_charge_of_darkness_Lore"				"Barathrum erupts from the darkness with unwieldy force."
"DOTA_Tooltip_ability_imba_spirit_breaker_charge_of_darkness_Description"		"Spirit Breaker fixes his sight on an enemy unit and starts charging through all objects.  All enemy units passed through and the targeted unit will be hit by a Greater Bash.  If the targeted unit dies, Spirit Breaker will change his target to the nearest enemy unit to that location.\n<font color='#FF7800'>Darkness Imprisoning Me:</font> For every second the charge is carried on while not in vision of the enemy team, Spirit Breaker's move speed increases by %darkness_speed%, scaling linearly.\n<font color='#FF7800'>Mad Cow:</font> If the targetted unit is killed by Charge of Darkness, the next closest unit within range is automatically targetted to continue the charge.\n<font color='#FF7800'>Clothesline:</font> If auto-cast is on, the first enemy unit passed through is instead stunned and forced in front of Spirit Breaker for %clothesline_duration% seconds. Applies Greater Bash after Clothesline ends, and affects magic immune enemies. \n<font color='#FF7800'>Taxi!:</font> If an ally unit targets (right-clicks) Spirit Breaker before or while Charge of Darkness is activated, and within %taxi_radius% radius, they will latch behind and be dragged along with the charge. Can manually dismount by issuing a stop or hold command, and also dismounts when the base charge ends, the unit is disabled, or they undergo forced movement."
"DOTA_Tooltip_ability_imba_spirit_breaker_charge_of_darkness_Note0"				"Spirit Breaker passes through trees, cliffs, and units."
"DOTA_Tooltip_ability_imba_spirit_breaker_charge_of_darkness_Note1"				"The charge indicator is visible only to allies."
"DOTA_Tooltip_ability_imba_spirit_breaker_charge_of_darkness_Note2"				"Spirit Breaker gains shared vision of the target."
"DOTA_Tooltip_ability_imba_spirit_breaker_charge_of_darkness_Note3"				"Taxi passengers can freely act."
"DOTA_Tooltip_ability_imba_spirit_breaker_charge_of_darkness_movement_speed"		"CHARGE BONUS SPEED:"
"DOTA_Tooltip_ability_imba_spirit_breaker_charge_of_darkness_stun_duration"		"STUN DURATION:"


"DOTA_Tooltip_ability_imba_spirit_breaker_bulldoze"								"Bulldoze"
"DOTA_Tooltip_ability_imba_spirit_breaker_bulldoze_Description"					"Spirit Breaker gains movement speed and status resistance to ram through enemies. Can be used while charging.\n<font color='#FF7800'>Remnants of Empowering Haste:</font> Passively increases movement speed of all allies within %empowering_aura_radius% radius by %empowering_aura_move_speed%%%. Does not work if passives are disabled."
"DOTA_Tooltip_ability_imba_spirit_breaker_bulldoze_movement_speed"				"%MOVEMENT SPEED:"
"DOTA_Tooltip_ability_imba_spirit_breaker_bulldoze_status_resistance"			"%STATUS RESISTANCE:"
"DOTA_Tooltip_ability_imba_spirit_breaker_bulldoze_duration"						"DURATION:"


"DOTA_Tooltip_ability_imba_spirit_breaker_empowering_haste"						"Empowering Haste"
"DOTA_Tooltip_ability_imba_spirit_breaker_empowering_haste_Lore"					"Aspiring heroes gain speed and power from simply observing the Spirit Breaker's dominance on the battle field."
"DOTA_Tooltip_ability_imba_spirit_breaker_empowering_haste_Description"			"Causes Spirit Breaker to gain power with higher movement speed. His presence increases the movement speed of nearby allied units. Can be cast to improve the movement speed bonus for %duration% seconds."
"DOTA_Tooltip_ability_imba_spirit_breaker_empowering_haste_bonus_movespeed_pct_self"	"%BONUS MOVE SPEED SELF:"
"DOTA_Tooltip_ability_imba_spirit_breaker_empowering_haste_bonus_movespeed_pct_allies"	"%BONUS MOVE SPEED ALLIES:"
"DOTA_Tooltip_ability_imba_spirit_breaker_empowering_haste_aura_radius"			"AURA RADIUS:"
"DOTA_Tooltip_ability_imba_spirit_breaker_empowering_haste_bonus_movespeed_pct_extra"			"%CAST ADDED BONUS SPEED:"
"DOTA_Tooltip_ability_imba_spirit_breaker_empowering_haste_duration"			"CAST ADDED SPEED DURATION:"


"DOTA_Tooltip_ability_imba_spirit_breaker_greater_bash"							"Greater Bash"
