//TEMPLAR ASSASSIN
"DOTA_Tooltip_ability_imba_templar_assassin_refraction"								"Refraction"
"DOTA_Tooltip_ability_imba_templar_assassin_refraction_Lore"							"Manipulating her psionic veil, Lanaya bends nature's law to her will."
"DOTA_Tooltip_ability_imba_templar_assassin_refraction_Description"					"Templar Assassin becomes highly elusive, avoiding damage and gaining a bonus to her damage.  The damage and avoidance effects are separate, and have a limited number of instances.\n<font color='#FF7800'>Refract Reality: </font>The caster also becomes invulnerable, hidden and spell immune for %reality_duration% seconds.\n<font color='#FF7800'>Disperse Influence: </font>Allies within %disperse_radius% radius of the caster gain %disperse_instances% avoidance instance for %disperse_duration% seconds.\n<font color='#FF7800'>Control Shift: </font>Can swap between <font color='#7d4592'>standard</font>, <font color='#aa5e37'>attack (50% more damage/less absorb instances)</font>, or <font color='#006ec9'>defense (50% more absorb/less damage instances)</font> weighting through right-clicking (auto-casting) the ability."
"DOTA_Tooltip_ability_imba_templar_assassin_refraction_Note0"						"Damage as HP Removal bypasses Refraction (it won't reduce the charges)."
"DOTA_Tooltip_ability_imba_templar_assassin_refraction_Note1"						"Only instances of %damage_threshold% or more damage will trigger Refraction."
"DOTA_Tooltip_ability_imba_templar_assassin_refraction_Note2"						"Refraction is visible to enemies."
"DOTA_Tooltip_ability_imba_templar_assassin_refraction_instances"					"INSTANCES:"
"DOTA_Tooltip_ability_imba_templar_assassin_refraction_bonus_damage"					"BONUS DAMAGE:"
"DOTA_Tooltip_ability_imba_templar_assassin_refraction_duration"						"DURATION:"

"DOTA_Tooltip_ability_imba_templar_assassin_meld"									"Meld"
"DOTA_Tooltip_ability_imba_templar_assassin_meld_Lore"								"Lanaya is as elusive as her covenant with the Hidden Temple."
"DOTA_Tooltip_ability_imba_templar_assassin_meld_Description"						"Templar Assassin conceals herself, becoming invisible as long as she remains still.  If Meld's invisibility is broken by attacking an enemy, Lanaya will deal bonus damage to the enemy and reduce their armor for %abilityduration% seconds.\n<font color='#FF7800'>Meld Extension:</font> Meld also applies all of its effects on spill targets from Psi Blades, if applicable.\n<font color='#FF7800'>Inner Eye:</font> If Meld is active for at least %inner_eye_seconds_to_flying_sight% seconds, the caster gains flying vision. If Meld is active for at least %inner_eye_seconds_to_expand% seconds, the caster gains %inner_eye_vision_bonus% vision. These effects last for %inner_eye_after_duration% seconds after Meld is broken."
"DOTA_Tooltip_ability_imba_templar_assassin_meld_Note0"								"Meld is broken by any action other than staying in position."
"DOTA_Tooltip_ability_imba_templar_assassin_meld_Note1"								"Meld's armor reduction does not work against towers."
"DOTA_Tooltip_ability_imba_templar_assassin_meld_Note2"								"Inner Eye is dispellable."
"DOTA_Tooltip_ability_imba_templar_assassin_meld_bonus_damage"						"BONUS DAMAGE:"
"DOTA_Tooltip_ability_imba_templar_assassin_meld_bonus_armor"						"ARMOR REDUCTION:"
"DOTA_Tooltip_ability_imba_templar_assassin_meld_abilityduration"						"ARMOR REDUCTION DURATION:"

"DOTA_Tooltip_ability_imba_templar_assassin_psi_blades"								"Psi Blades"
"DOTA_Tooltip_ability_imba_templar_assassin_psi_blades_Lore"							"Her blades pierce the skin as much as the mind, furthering her understanding of the mystery that is reality."
"DOTA_Tooltip_ability_imba_templar_assassin_psi_blades_Description"					"Templar Assassin's psi blades slice through the attacked unit, splitting and damaging enemy units directly behind it, while gaining bonus attack range.\n<font color='#FF7800'>Psionic Accelerant: </font> After %attacks_to_accelerate% attacks, your next attack will have %accelerant_speed_bonus% bonus projectile speed and have its spill damage be based on attack damage before any reductions."
"DOTA_Tooltip_ability_imba_templar_assassin_psi_blades_Note0"						"Split damage hits invisible units."
"DOTA_Tooltip_ability_imba_templar_assassin_psi_blades_Note1"						"Attack effects like Bash will only be applied to the main target."
"DOTA_Tooltip_ability_imba_templar_assassin_psi_blades_bonus_attack_range"			"BONUS ATTACK RANGE:"
"DOTA_Tooltip_ability_imba_templar_assassin_psi_blades_attack_spill_range"			"SPLIT RANGE:"
"DOTA_Tooltip_ability_imba_templar_assassin_psi_blades_attack_spill_pct"				"%SPLIT AMOUNT:"

"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap"							"Psionic Trap"
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_Lore"						"Calling upon the reach of the Hidden Temple, none escape the eye of the Templar."
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_Description"				"Templar Assassin places mystical traps that invisibly monitor enemy movement. When sprung at her command, they exert a slowing influence of %movement_speed_min%%% in the area. Traps charge up to slow %movement_speed_max%%% after %trap_max_charge_duration% seconds. Deals bonus damage when fully charged.\n<font color='#FF7800'>Psychic Inhibitor: </font>Can swap target specialization between <font color='#7d4592'>limbs</font>, <font color='#5e5e5e'>eyes</font>, or <font color='#8d0000'>nerves</font> through right-clicking (auto-casting) the ability. When fully charged and sprung, the following effects are additionally applied:\n<font color='#7d4592'>Limbs: </font>Attack speed reduced by %inhibit_limbs_attack_slow% or %inhibit_limbs_attack_slow_pct%%% of the affected target's attack speed (whichever is greater), and turn speed reduced by %inhibit_limbs_turn_rate_slow%%%.\n<font color='#5e5e5e'>Eyes: </font>Vision reduced by %inhibit_eyes_vision_reduction%%%, and cannot see attackers outside of vision.\n<font color='#8d0000'>Nerves: </font>Mini-stunned for %inhibit_nerves_ministun_duration% seconds whenever a move, attack, or cast order is issued."
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_aghanim_description"        "Grants new ability: Psionic Projection. Allows you to teleport to any Psionic Trap after a brief channel."
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_Note0"						"Traps last indefinitely."
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_Note1"						"They have invisibility that fades in over %trap_fade_time% seconds, spell immunity, and 100 HP."
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_Note2"						"Traps have 400/400 vision range and don't prevent neutral camps from spawning."
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_max_traps"					"MAX TRAPS:"
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_trap_duration_tooltip"					"SLOW DURATION:"
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_movement_speed_min"					"%MIN MOVEMENT SLOW:"
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_movement_speed_max"					"%MAX MOVEMENT SLOW:"
"DOTA_Tooltip_ability_imba_templar_assassin_psionic_trap_trap_bonus_damage"					"BONUS DAMAGE:"

"DOTA_Tooltip_ability_imba_templar_assassin_trap"									"Trap"
"DOTA_Tooltip_ability_imba_templar_assassin_trap_Description"						"Springs the nearest trap, slowing nearby enemies.\n<font color='#FF7800'>Springboard: </font>Can be set to auto-cast to propel the caster away from the trap if they are within radius, at a speed of %springboard_vector_amp%x the distance between caster and trap. Movement speed is reduced by %springboard_movement_slow_pct%%% while airborne, but the caster also gains free pathing. This effect is unpurgable."

"DOTA_Tooltip_ability_imba_templar_assassin_self_trap"								"Trap"
"DOTA_Tooltip_ability_imba_templar_assassin_self_trap_Description"					"Springs the trap, slowing nearby enemies."

"DOTA_Tooltip_ability_imba_templar_assassin_trap_teleport"                   "Psionic Projection"
"DOTA_Tooltip_ability_imba_templar_assassin_trap_teleport_Description"       "Allows Templar Assassin to teleport to any Psionic Trap after a brief channel. Does not break meld. Detonates the Psionic Trap on arrival."
"DOTA_Tooltip_ability_imba_templar_assassin_trap_teleport_tooltip_channel_time"       "CHANNEL TIME:"
"DOTA_Tooltip_ability_imba_templar_assassin_trap_teleport_tooltip_cooldown"       "COOLDOWN:"
