//"DOTA_Tooltip_ability_void_spirit_aether_remnant"					"Aether Remnant"
//"DOTA_Tooltip_ability_void_spirit_aether_remnant_Description"		"Vector targeted. Void Spirit dispatches a remnant to the target location. The remnant stands watch over the region, facing the direction of his vector. When a unit crosses its gaze, the remnant pulls it in and damages it."
//"DOTA_Tooltip_ability_void_spirit_aether_remnant_Lore"				"Inai exists far beyond the scope of a single point in space and time."
//"DOTA_Tooltip_ability_void_spirit_aether_remnant_pull_duration"		"PULL DURATION:"
//"DOTA_Tooltip_ability_void_spirit_aether_remnant_impact_damage"		"DAMAGE:"
//"DOTA_Tooltip_ability_void_spirit_aether_remnant_duration"			"REMNANT LIFETIME:"
//"DOTA_Tooltip_ability_void_spirit_aether_remnant_activation_delay"	"ACTIVATION TIME:"

//"DOTA_Tooltip_ability_void_spirit_aether_remnant_Description"		"Vector targeted. Void Spirit dispatches a remnant to the target location. The remnant stands watch over the region, facing the direction of his vector. When a unit crosses its gaze, the remnant pulls it in and damages it.\n<font color='#FF7800'>Dimensional Swiftness:</font> Damaging an enemy hero with Aether Remnant increases Void Spirit's attack damage by %damage_bonus%, movement speed by %move_speed_bonus%, and evasion by %evasion_bonus%%% for %swiftness_duration% seconds. Stacks with, but does not refresh itself.\n<font color='#FF7800'>Aether Sense:</font> Enemy heroes hit by Aether Remnant are revealed through invisibility for %vision_duration% seconds."

"DOTA_Tooltip_modifier_imba_void_spirit_aether_remnant_helper_buff"		"Dimensional Swiftness"
"DOTA_Tooltip_modifier_imba_void_spirit_aether_remnant_helper_buff_Description"	"Attack damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%, movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%, and evasion increased by %dMODIFIER_PROPERTY_EVASION_CONSTANT%%%."

"DOTA_Tooltip_modifier_imba_void_spirit_aether_remnant_target_vision"				"Aether Sense"
"DOTA_Tooltip_modifier_imba_void_spirit_aether_remnant_target_vision_Description"	"Can be seen through invisibility."

"DOTA_Tooltip_ability_imba_void_spirit_dissimilate"						"Dissimilate"
"DOTA_Tooltip_ability_imba_void_spirit_dissimilate_Description"			"Void Spirit temporarily fades into the aether, creating a number of portals through which he can reassemble himself. Upon exiting a portal, he damages all enemies in the area.\n<font color='#FF7800'>Shared Incorporeality:</font> Can be set to auto-cast to make Dissimilate also pull allies into the center portal. They will appear at Void Spirit's chosen portal after the phase duration at a similar position offset."
"DOTA_Tooltip_ability_imba_void_spirit_dissimilate_Lore"					"Inai much prefers to observe our plane free from the confines of corporeal form."
//"DOTA_Tooltip_ability_imba_void_spirit_dissimilate_aghanim_description" "Increases size and distance of portals by %scepter_size_increase_pct%%%."
