// Heart of Tarrasque
"DOTA_Tooltip_Ability_item_imba_heart"							"Heart of Tarrasque"
"DOTA_Tooltip_ability_item_imba_heart_Description"				"<h1>Passive: Regeneration Amplification</h1>Increases all passive health regeneration by %hp_regen_amp%%%. <br><br>If damage is taken from an enemy hero or Roshan, this amplification is <font color='#FF7800'>reduced to %hp_regen_amp_broken%%%</font> for %regen_cooldown_melee% seconds for melee heroes, or %regen_cooldown_ranged% seconds for ranged heroes.\n<h1><font color='#FF7800'>Passive: Tarrasque Breath</font></h1> Increases nearby heroes' strength by %aura_str%.<br><br>Range: %aura_radius%\n<h1><font color='#FF7800'>Passive: We Are All Alive</font></h1>Health regen amplification works on illusions at %alive_illusion_pct%%% efficiency.\n<h1><font color='#FF7800'>Passive: Heart Fountain</font></h1>Health regen amplification from multiple Heart of Tarrasques fully stacks."
"DOTA_Tooltip_ability_item_imba_heart_Lore"						"Preserved heart of an extinct monster, it bolsters the bearer's fortitude."
"DOTA_Tooltip_ability_item_imba_heart_Note0"					"Tarrasque Breath and the passive regeneration do not stack."
"DOTA_Tooltip_ability_item_imba_heart_bonus_strength"			"+$str"
"DOTA_Tooltip_ability_item_imba_heart_bonus_health"				"+$health"
"DOTA_Tooltip_ability_item_imba_heart_health_regen_pct"			"%+Max Health Regen"
// "DOTA_Tooltip_ability_item_imba_heart_hp_regen_amp"				"%+Health Regen Amplification"

"DOTA_Tooltip_modifier_item_imba_heart_aura_buff"				"Tarrasque Breath"
"DOTA_Tooltip_modifier_item_imba_heart_aura_buff_Description"	"Strength increased by %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%."
