"DOTA_Tooltip_Ability_item_imba_lotus_orb"						"#{DOTA_Tooltip_Ability_item_lotus_orb}"
"DOTA_Tooltip_ability_item_imba_lotus_orb_Description"			"#{DOTA_Tooltip_ability_item_lotus_orb_Description}"			
"DOTA_Tooltip_ability_item_imba_lotus_orb_bonus_armor"			"#{DOTA_Tooltip_ability_item_lotus_orb_bonus_armor}"			
"DOTA_Tooltip_ability_item_imba_lotus_orb_bonus_health_regen"	"#{DOTA_Tooltip_ability_item_lotus_orb_bonus_health_regen}"	
"DOTA_Tooltip_ability_item_imba_lotus_orb_bonus_mana_regen"		"#{DOTA_Tooltip_ability_item_lotus_orb_bonus_mana_regen}"		
"DOTA_Tooltip_ability_item_imba_lotus_orb_bonus_mana"			"#{DOTA_Tooltip_ability_item_lotus_orb_bonus_mana}"			
//"DOTA_Tooltip_ability_item_lotus_orb_active_duration"		//"DOTA_Tooltip_ability_item_lotus_orb_active_duration"		
//"DOTA_Tooltip_ability_item_lotus_orb_abilitycastrange"	//"DOTA_Tooltip_ability_item_lotus_orb_abilitycastrange"	
"DOTA_Tooltip_ability_item_imba_lotus_orb_Lore"					"#{DOTA_Tooltip_ability_item_lotus_orb_Lore}"					

"DOTA_Tooltip_modifier_item_imba_lotus_orb_active"				"#{DOTA_Tooltip_modifier_item_lotus_orb_active}"				
"DOTA_Tooltip_modifier_item_imba_lotus_orb_active_Description"	"#{DOTA_Tooltip_modifier_item_lotus_orb_active_Description}"	
