// Manta Style
"DOTA_Tooltip_ability_item_imba_manta"							"Manta Style"
"DOTA_Tooltip_ability_item_imba_manta_Description"				"<h1>Active: Mirror Image</h1>Creates %images_count% images of your hero that last %tooltip_illusion_duration% seconds. <br><br>Melee images deal %tooltip_damage_outgoing_melee%%% damage and take %tooltip_damage_incoming_melee_total_pct%%% damage, while Ranged images deal %tooltip_damage_outgoing_ranged%%% and take %tooltip_damage_incoming_ranged_total_pct%%% damage. <br><br>Cooldown increased by %tooltip_ranged_cooldown_increase% seconds on ranged heroes.<br><br>Dispel Type: <span class=\'GameplayValues GameplayVariable\'>Basic Dispel</span>\n<font color='#FF7800'><h1>Active: Sword Dance</h1> Grants %bonus_evasion_active%%  Evasion for %active_duration% seconds.</font>"
"DOTA_Tooltip_ability_item_imba_manta_Lore"						"An axe made of reflective materials that causes confusion amongst enemy ranks."
"DOTA_Tooltip_ability_item_imba_manta_Note0"					"Has a 0.1 second cast time during which you are invulnerable."
"DOTA_Tooltip_ability_item_imba_manta_Note1"					"Many effects are removed upon using Manta."
"DOTA_Tooltip_ability_item_imba_manta_Note2"					"Yasha based movement speed bonuses from multiple items do not stack."
"DOTA_Tooltip_ability_item_imba_manta_bonus_agility"			"+$agi"
"DOTA_Tooltip_ability_item_imba_manta_bonus_strength"			"+$str"
"DOTA_Tooltip_ability_item_imba_manta_bonus_intellect"			"+$int"
"DOTA_Tooltip_ability_item_imba_manta_bonus_attack_speed"		"+$attack"
"DOTA_Tooltip_ability_item_imba_manta_bonus_movement_speed"		"%+$move_speed"
"DOTA_Tooltip_ability_item_imba_manta_bonus_evasion"			"%EVASION:"
"DOTA_Tooltip_ability_item_imba_manta_active_duration"			"BUFF DURATION:"
//    "DOTA_Tooltip_ability_item_manta_images_count"                "NUMBER OF IMAGES:"
//    "DOTA_Tooltip_ability_item_manta_tooltip_damage_incoming_melee_total_pct" "%MELEE IMAGE DAMAGE TAKEN:"
//    "DOTA_Tooltip_ability_item_manta_tooltip_damage_outgoing_melee"       "%MELEE IMAGE DAMAGE:"
//    "DOTA_Tooltip_ability_item_manta_tooltip_damage_incoming_ranged_total_pct"  "%RANGED IMAGE DAMAGE TAKEN:"
//    "DOTA_Tooltip_ability_item_manta_tooltip_damage_outgoing_ranged"      "%RANGED IMAGE DAMAGE:"
//    "DOTA_Tooltip_ability_item_manta_tooltip_illusion_duration"         "IMAGE DURATION:"
