"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem"								"Ogre Seal Totem"
"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem_Description"					"<h1>Active: Ogre Seal Flop</h1>Flop like an ogre seal, doing %damage% damage and stunning for %stun_duration% second on each bounce. Does a small, damageless bounce before bouncing forward twice."
"DOTA_Tooltip_ability_item_imba_ogre_seal_totem_Lore"						"A totem carved from an ogre seal's tooth."
"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem_bonus_strength"				"+$str"
"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem_bonus_hp"					"+$health"

"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem_Note0"						"The caster flops forward at a speed of 1000."
"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem_Note1"						"Due to the included vertical movements, the duration of the flap may vary based on the terrain. On flat ground, one flop takes 0.4 seconds."
"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem_Note2"						"On flat ground the entire spell therefore lasts 1.3 seconds, considering the initial delay before the flopping begins."
"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem_Note3"						"The flopping immediately ends when the caster meets unpathable terrain, so that it cannot be used to pass over cliffs or trees."
"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem_Note4"						"The caster is stunned during the delay and the flops."
"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem_Note5"						"Destroys trees around the caster upon impact with the ground, within the impact area."
"DOTA_Tooltip_Ability_item_imba_ogre_seal_totem_Note6"						"The damage and stun are applied around the caster upon landing after the flops."
