// Sange
"DOTA_Tooltip_Ability_item_imba_sange"							"#{DOTA_Tooltip_ability_item_sange}"
"DOTA_Tooltip_ability_item_imba_sange_Description"				"<font color='#FF7800'><h1>Active: Steadfast Durability</h1> Grants %bonus_status_resistance_active%%  Status Resistance for %active_duration% seconds.</font>"
"DOTA_Tooltip_ability_item_imba_sange_Lore"						"Sange is an unusually accurate weapon, seeking weak points automatically."
"DOTA_Tooltip_ability_item_imba_sange_maim_stack"				"%MAIM SLOW:"
"DOTA_Tooltip_ability_item_imba_sange_bonus_damage"				"+$damage"
"DOTA_Tooltip_ability_item_imba_sange_bonus_strength"			"+$str"
"DOTA_Tooltip_ability_item_imba_sange_bonus_status_resistance_active"		"%STATUS RESISTANCE:"
"DOTA_Tooltip_ability_item_imba_sange_active_duration"			"BUFF DURATION:"

"DOTA_Tooltip_modifier_item_imba_sange_active"					"Shield"
"DOTA_Tooltip_modifier_item_imba_sange_active_Description"		"Grants %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% status resistance."

// Yasha
"DOTA_Tooltip_Ability_item_imba_yasha"							"#{DOTA_Tooltip_ability_item_yasha}"
"DOTA_Tooltip_ability_item_imba_yasha_Description"				"<font color='#FF7800'><h1>Active: Sword Dance</h1> Grants %bonus_evasion_active%%  Evasion for %active_duration% seconds.</font>"
"DOTA_Tooltip_ability_item_imba_yasha_Lore"						"Yasha is regarded as the swiftest weapon ever created."
"DOTA_Tooltip_ability_item_imba_yasha_Note0"					"Movement speed bonus does not stack with itself or other Yasha upgrades."
"DOTA_Tooltip_ability_item_imba_yasha_bonus_attack_speed"		"+$attack"
"DOTA_Tooltip_ability_item_imba_yasha_bonus_agility"			"+$agi"
"DOTA_Tooltip_ability_item_imba_yasha_bonus_ms"					"%+$move_speed"
"DOTA_Tooltip_ability_item_imba_yasha_bonus_evasion"			"%EVASION:"
"DOTA_Tooltip_ability_item_imba_yasha_active_duration"			"BUFF DURATION:"

"DOTA_Tooltip_modifier_item_imba_yasha_active"					"Shield"
"DOTA_Tooltip_modifier_item_imba_yasha_active_Description"		"Grants %dMODIFIER_PROPERTY_EVASION_CONSTANT%%% evasion."

// Kaya
"DOTA_Tooltip_Ability_item_imba_kaya"							"#{DOTA_Tooltip_ability_item_kaya}"
"DOTA_Tooltip_ability_item_imba_kaya_Description"				"<h1>Active: Spell Trader:</h1> Grants %bonus_cdr_active%% cooldown reduction for the next spell cast. Removed when a spell is cast.\n<h1>Passive: Quickspell</h1> Grants %bonus_cdr%%% nonstacking cooldown reduction."
"DOTA_Tooltip_ability_item_imba_kaya_lore"						"#{DOTA_Tooltip_ability_item_kaya_lore}"
"DOTA_Tooltip_ability_item_imba_kaya_note0"						"#{DOTA_Tooltip_ability_item_kaya_note0}"
"DOTA_Tooltip_ability_item_imba_kaya_bonus_int"					"+$int"
"DOTA_Tooltip_ability_item_imba_kaya_spell_amp"					"%+Spell Amplification"
"DOTA_Tooltip_ability_item_imba_kaya_bonus_cdr"					"%+Manacost and Manaloss Reduction"
"DOTA_Tooltip_ability_item_imba_kaya_bonus_cdr_active"			"CDR AND MANALOSS BUFF:"
"DOTA_Tooltip_ability_item_imba_kaya_active_duration"			"BUFF DURATION:"

"DOTA_Tooltip_modifier_item_imba_kaya_active"					"Spell Trader"
"DOTA_Tooltip_modifier_item_imba_kaya_active_Description"		"Grants %dMODIFIER_PROPERTY_COOLDOWN_PERCENTAGE%%% cooldown reduction on the next spell cast."

// Sange and Yasha
"DOTA_Tooltip_Ability_item_imba_sange_yasha"					"#{DOTA_Tooltip_Ability_item_sange_and_yasha}"
"DOTA_Tooltip_ability_item_imba_sange_yasha_Description"		"<font color='#FF7800'><h1>Active: Steadfast Dance</h1> Grants %bonus_evasion_active%%  Evasion for %active_duration% seconds.</font>"
"DOTA_Tooltip_ability_item_imba_sange_yasha_Lore"				"#{DOTA_Tooltip_ability_item_sange_and_yasha_Lore}"
"DOTA_Tooltip_ability_item_imba_sange_yasha_Note0"				"Movement speed bonus does not stack with itself or other Yasha upgrades."
"DOTA_Tooltip_ability_item_imba_sange_yasha_bonus_damage"		"#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_damage}"
"DOTA_Tooltip_ability_item_imba_sange_yasha_bonus_strength"		"#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_strength}"
"DOTA_Tooltip_ability_item_imba_sange_yasha_bonus_attack_speed"	"#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_imba_sange_yasha_bonus_agility"		"#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_agility}"
"DOTA_Tooltip_ability_item_imba_sange_yasha_bonus_ms"			"%+$move_speed"
"DOTA_Tooltip_ability_item_imba_sange_yasha_active_duration"	"BUFF DURATION:"

"DOTA_Tooltip_modifier_item_imba_yasha_active"					"Shield"
"DOTA_Tooltip_modifier_item_imba_yasha_active_Description"		"Grants %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% status resistance and %dMODIFIER_PROPERTY_EVASION_CONSTANT%%% evasion."

// Heaven's Halberd
"DOTA_Tooltip_ability_item_imba_heavens_halberd"					"#{DOTA_Tooltip_ability_item_heavens_halberd}"
"DOTA_Tooltip_ability_item_imba_heavens_halberd_Description"		"<h1>Active: Disarm</h1> Prevents a target from attacking for %disarm_melee_duration% seconds. Duration increases to %disarm_range_duration% seconds if the target is ranged. <font color='#FF7800'>Also grants disarm immunity and %bonus_status_resistance_active%%  Status Resistance if the target is an ally.</font>"
"DOTA_Tooltip_ability_item_imba_heavens_halberd_Lore"				"This halberd moves with the speed of a smaller weapon, allowing the bearer to win duels that a heavy edge would not."
"DOTA_Tooltip_ability_item_imba_heavens_halberd_Note0"				"Disarm cannot be purged."
"DOTA_Tooltip_ability_item_imba_heavens_halberd_maim_stack"			"%MAIM SLOW:"
"DOTA_Tooltip_ability_item_imba_heavens_halberd_maim_duration"		"MAIM DURATION:"
"DOTA_Tooltip_ability_item_imba_heavens_halberd_bonus_damage"		"+$damage"
"DOTA_Tooltip_ability_item_imba_heavens_halberd_bonus_strength"		"+$str"
"DOTA_Tooltip_ability_item_imba_heavens_halberd_bonus_evasion"		"%+$evasion"
"DOTA_Tooltip_ability_item_imba_heavens_halberd_active_duration"	"BUFF DURATION:"

"DOTA_Tooltip_modifier_item_imba_heavens_halberd_ally_buff"					"Heaven Halberd"
"DOTA_Tooltip_modifier_item_imba_heavens_halberd_ally_buff_Description"		"Disarm immunity. Status Resistance increased by %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%."

"DOTA_Tooltip_modifier_item_imba_heavens_halberd_active_disarm"					"Heaven Halberd"
"DOTA_Tooltip_modifier_item_imba_heavens_halberd_active_disarm_Description"		"Disarmed."

// Kaya and Sange
"DOTA_Tooltip_Ability_item_imba_kaya_and_sange"						"Kaya and Sange"
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_Description"			"<font color='#FF7800'><h1>Active: Shield</h1> Grants %bonus_status_resistance_active%%  Status Resistance and %bonus_cdr_active%%  mana cost and cooldown reduction for %active_duration% seconds.</font'>"
// "DOTA_Tooltip_ability_item_imba_kaya_and_sange_Lore"				"#{DOTA_Tooltip_ability_item_kaya_and_sange_Lore}"
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_Note0"				"Movement speed bonus does not stack with itself or other Yasha upgrades."
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_bonus_int"			"+$int"
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_spell_amp"			"%+Spell Amplification"
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_bonus_cdr"			"%+Manacost and Manaloss Reduction"
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_bonus_damage"		"#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_damage}"
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_bonus_strength"		"#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_strength}"
"DOTA_Tooltip_ability_item_imba_kaya_and_sange_bonus_attack_speed"	"#{DOTA_Tooltip_ability_item_sange_and_yasha_bonus_attack_speed}"
