// Vladmir's Offering
"DOTA_Tooltip_Ability_item_imba_vladmir"                        "Vladmir's Offering"
"DOTA_Tooltip_ability_item_imba_vladmir_Description"            "<h1>Passive: Vladmir's Aura</h1>Grants %vampiric_aura%%% lifesteal, <font color='#FF7800'>%hp_regen_aura% health regeneration</font>, %mana_regen_aura% mana regeneration, <font color='#FF7800'>%damage_aura%%% bonus attack damage</font>, and %armor_aura% armor to nearby allies. <font color='#FF7800'>Illusions fully benefit from the lifesteal.</font> <br><br>Radius: %aura_radius%"
"DOTA_Tooltip_ability_item_imba_vladmir_Lore"                  "An eerie mask that is haunted with the malice of a fallen vampire."
"DOTA_Tooltip_ability_item_imba_vladmir_Note0"                  "Vladmir's Aura is completely overriden and does not stack with Vladmir's Blood's Blood Aura."
// "DOTA_Tooltip_ability_item_imba_vladmir_stat_bonus"            "+$all"

"DOTA_Tooltip_modifier_item_imba_vladmir_aura"                  "Vladmir's Aura"
"DOTA_Tooltip_modifier_item_imba_vladmir_aura_Description"		"Benefitting from Vladmir's Offering's Aura."

// Vladmir's Blood
"DOTA_Tooltip_Ability_item_imba_vladmir_2"                      "Vladmir's Blood"
"DOTA_Tooltip_ability_item_imba_vladmir_2_Description"          "<h1>Passive: Blood Aura</h1>Grants %vampiric_aura%%% lifesteal and spell steal, %hp_regen_aura% health regeneration, %mana_regen_aura% mana regeneration, %damage_aura%%% bonus attack damage, and %armor_aura% armor to nearby allies. Illusions fully benefit from the lifesteal. <br><br>Radius: %aura_radius%"
"DOTA_Tooltip_ability_item_imba_vladmir_2_Lore"                "An eerie mask possessed by a fallen vampire's mighty bloodlust."
"DOTA_Tooltip_ability_item_imba_vladmir_2_Note0"                "Vladmir's Aura is completely overriden and does not stack with Blood Aura."
// "DOTA_Tooltip_ability_item_imba_vladmir_2_stat_bonus"          "+$all"

"DOTA_Tooltip_modifier_item_imba_vladmir_blood_aura"            "Blood Aura"
"DOTA_Tooltip_modifier_item_imba_vladmir_blood_aura_Description"            "Benefitting from Vladmir's Blood's Aura."
