//=================================================================================================================
// IMBA Global Modifiers
//=================================================================================================================

"DOTA_Tooltip_modifier_imba_war_veteran_0"						"War Veteran (Strength)"
"DOTA_Tooltip_modifier_imba_war_veteran_0_Description"			"<font color='#FF0000'>Strength Heroes</font>: health regen/tenacity increased by 2/1% every level beyond 25 and 42."

"DOTA_Tooltip_modifier_imba_war_veteran_1"						"War Veteran (Agility)"
"DOTA_Tooltip_modifier_imba_war_veteran_1_Description"			"<font color='#00FF00'>Agility Heroes</font>: attack speed/move speed increased by 3/1% every level beyond 25 and 42."

"DOTA_Tooltip_modifier_imba_war_veteran_2"						"War Veteran (Intellect)"
"DOTA_Tooltip_modifier_imba_war_veteran_2_Description"			"<font color='#4060FF'>Intelligence Heroes</font>: spell amp/magic resistance increased by 2%/1% every level beyond 25 and 42."

"DOTA_Tooltip_modifier_buyback_gold_penalty"					"Buyback Penalty"
"DOTA_Tooltip_modifier_buyback_gold_penalty_Description"		"Gold earnings reduced by 60%%, further buybacks will have increased cost"

"DOTA_Tooltip_modifier_charges"									"Ability charges"
"DOTA_Tooltip_modifier_charges_Description"						"Can cast the ability as long as charges remain"

"DOTA_Tooltip_modifier_fountain_aura_effect_lua"				"#{DOTA_Tooltip_modifier_fountain_aura_buff}"
"DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"	"#{DOTA_Tooltip_modifier_fountain_aura_buff_Description}"

"DOTA_Tooltip_modifier_river_slide"								"Sleepy River"
"DOTA_Tooltip_modifier_river_slide_Description"					"Sliding on the ice!"
	
"DOTA_Tooltip_modifier_sticky_river_slow"						"Sticky River"
"DOTA_Tooltip_modifier_sticky_river_slow_Description"			"You are slowed while wading through water."

"DOTA_Tooltip_modifier_mutation_river_flows_boost"				"River Flows"
"DOTA_Tooltip_modifier_mutation_river_flows_boost_Description"	"Movement speed greatly increased in the river."

"DOTA_Tooltip_modifier_mutation_kill_streak_power"				"#{DOTA_Tooltip_modifier_mutation_killstreak_power}"
"DOTA_Tooltip_modifier_mutation_kill_streak_power_Description"	"#{DOTA_Tooltip_modifier_mutation_killstreak_power_Description}"

"DOTA_Tooltip_modifier_mutation_track"							"Track"
"DOTA_Tooltip_modifier_mutation_track_Description"				"Unable to go invisible, and granting vision to the enemy team."

"DOTA_Tooltip_modifier_mutation_stampede"						"Stampede"
"DOTA_Tooltip_modifier_mutation_stampede_Description"			"Moving at maximum speed, increasing tenacity and damage reduction, bypassing terrain, and trampling nearby enemies."

"DOTA_Tooltip_modifier_mutation_stampede_slow"					"Stampede"
"DOTA_Tooltip_modifier_mutation_stampede_slow_Description"		"Trampled, slowed movement speed."

"DOTA_Tooltip_modifier_mutation_bloodlust"						"Bloodlust"
"DOTA_Tooltip_modifier_mutation_bloodlust_Description"			"Increased movement speed, attack speed, and cast speed."

"DOTA_Tooltip_modifier_mutation_cold_feet"						"Cold Feet"
"DOTA_Tooltip_modifier_mutation_cold_feet_Description"			"Taking periodic damage. If you don't move more than 740 distance from the original cast area, you will be frozen in place."

"DOTA_Tooltip_modifier_mutation_cold_feet_stun"					"Frozen"

"DOTA_Tooltip_modifier_mutation_aphotic_shield"					"Aphotic Shield"
"DOTA_Tooltip_modifier_mutation_aphotic_shield_Description"		"Incoming damage blocked by Aphotic Shield's protection. Shield health and damage scale with game time."

"DOTA_Tooltip_modifier_mutation_shadow_dance_buff"				"Shadow Dance"
"DOTA_Tooltip_modifier_mutation_shadow_dance_buff_Description"	"Regenerate health and mana slightly faster when not in vision of the enemy."

"DOTA_Tooltip_modifier_frantic"									"Frantic"
"DOTA_Tooltip_modifier_frantic_Description"						"%dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%%  Cooldown Reduction, Mana Cost and Status Resistance."

"DOTA_Tooltip_modifier_mutation_danger_zone"					"Call Down"
"DOTA_Tooltip_modifier_mutation_danger_zone_Description"		"Rockets periodically fall onto the battlefield. Watch out!"

"DOTA_Tooltip_modifier_mutation_torrent_slow"					"Torrent Slow"
"DOTA_Tooltip_modifier_mutation_torrent_slow_Description"		"Movemnt speed slowed."

"DOTA_Tooltip_modifier_mutation_rupture"						"Rupture"
"DOTA_Tooltip_modifier_mutation_rupture_Description"            "Ruptured! Moving will cause you to take damage."

"DOTA_Tooltip_modifier_mutation_wormhole_cooldown"				"Wormhole Cooldown"
"DOTA_Tooltip_modifier_mutation_wormhole_cooldown_Description"  "Experiencing teleportion sickness. You cannot use another wormhole while under this effect."

"npc_dota_mutation_golem"						            	"BOB"
"DOTA_Tooltip_modifier_mutation_tug_of_war_golem" 				"Creation Stacks"
"DOTA_Tooltip_modifier_mutation_tug_of_war_golem_Description"	"Grows stronger with each revival. Each stack grants additional health, attack, movement speed, attack speed, armor, magic resistance, health regeneration, attack range, tenacity, physical block, damage reduction, model size, and exp/gold when killed. Some parameters have a maximum to prevent infinite scaling."

"DOTA_Tooltip_modifier_mutation_monkey_business"				"Disguise Pending"
"DOTA_Tooltip_modifier_mutation_monkey_business_Description"	"Standing still and uninterrupted for 3 seconds will transform you into a different entity."

"DOTA_Tooltip_modifier_mutation_monkey_business_transform"				"Monkey Business"
"DOTA_Tooltip_modifier_mutation_monkey_business_transform_Description"	"This unit is disguised."

"DOTA_Tooltip_modifier_fountain_invulnerable"					"God's Protection"
"DOTA_Tooltip_modifier_fountain_invulnerable_Description"		"Invulnerable!"

"DOTA_Tooltip_modifier_mutation_speed_freaks"					"Speed Freaks"
"DOTA_Tooltip_modifier_mutation_speed_freaks_Description"		"Movespeed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%, projectile speed increased by 500 and max movespeed capped at 1000."
