//=================================================================================================================
// IMBA Runes
//=================================================================================================================
"DOTA_Tooltip_ability_item_imba_rune_arcane"			"Archmage Soul"
"DOTA_Tooltip_ability_item_imba_rune_bounty"			"Bounty Rune"
"DOTA_Tooltip_ability_item_imba_rune_double_damage"		"Power Surge"
"DOTA_Tooltip_ability_item_imba_rune_haste"				"Nightmare Shadow"
"DOTA_Tooltip_ability_item_imba_rune_illusion"			"Illusion Rune"
"DOTA_Tooltip_ability_item_imba_rune_invisibility"		"Invisibility Rune"
"DOTA_Tooltip_ability_item_imba_rune_regeneration"		"Boundless Energy"
"DOTA_Tooltip_ability_item_imba_rune_frost"				"Greevil Soul"
"DOTA_Tooltip_ability_item_imba_rune_ember"				"Ember Rune"
"DOTA_Tooltip_ability_item_imba_rune_stone"				"Stone Artifact"

"DOTA_Tooltip_ability_item_imba_rune_arcane_Description"		"Reduces cooldowns by 30% and mana costs by 40%."
"DOTA_Tooltip_ability_item_imba_rune_bounty_Description"		"Grants bonus Gold and XP."
"DOTA_Tooltip_ability_item_imba_rune_doubledamage_Description"	"Base damage multiplied by 2.\nMain attribute multiplied by 2."
"DOTA_Tooltip_ability_item_imba_rune_haste_Description"			"Attack speed increased by 80.\nMovement speed increased by 60%.\nNo movement speed limit!"
"DOTA_Tooltip_ability_item_imba_rune_illusion_Description"		"Conjures 2 illusions of your hero which deal 35% damage.  Melee illusions take 200% damage.  Ranged illusions take 300% damage.  Illusions last 75 seconds."
"DOTA_Tooltip_ability_item_imba_rune_invisibility_Description"	"Become invisible for 45 seconds.  This invisibility is broken by attacking or by using an ability or item."
"DOTA_Tooltip_ability_item_imba_rune_regeneration_Description"	"Constantly regenerating health and mana by 50 + 5%/20 + 2% (respectively).\nEffect is loss if you lose all your instances."
"DOTA_Tooltip_ability_item_imba_rune_frost_Description"			"Your attacks slow enemy targets.\nAlso slows enemies attacking you."
"DOTA_Tooltip_ability_item_imba_rune_ember_Description"			"Grants immolation, dealing damage over time around you, also adding fire to your attacks, burning targets."
"DOTA_Tooltip_ability_item_imba_rune_stone_Description"			"On 7 successful hit turns the unit into a stone, making it magic immune but stunned for 1 second"

"IMBA_custom_rune_arcane"			"{s:player_name} activated an <font color='#FD3AFB'>{s:locstring_value}</font>!"
"IMBA_custom_rune_bounty"			"{s:player_name} activated a <font color='#FF7800'>{s:locstring_value}</font>!"
"IMBA_custom_rune_double_damage"	"{s:player_name} activated a <font color='#82CAFF'>{s:locstring_value}</font>!"
"IMBA_custom_rune_haste"			"{s:player_name} activated a <font color='#F62817'>{s:locstring_value}</font>!"
"IMBA_custom_rune_illusion"			"{s:player_name} activated an <font color='#FFD700'>{s:locstring_value}</font>!"
"IMBA_custom_rune_invisibility"		"{s:player_name} activated an <font color='#8B008B'>{s:locstring_value}</font>!"
"IMBA_custom_rune_regeneration"		"{s:player_name} activated a <font color='#7FFF00'>{s:locstring_value}</font>!"
"IMBA_custom_rune_frost"			"{s:player_name} activated a <font color='#3366FF'>{s:locstring_value}</font>!"
"IMBA_custom_rune_ember"			"{s:player_name} activated a <font color='#FF3300'>{s:locstring_value}</font>!"
"IMBA_custom_rune_stone"			"{s:player_name} activated a <font color='#8C8C8C'>{s:locstring_value}</font>!"

"IMBA_custom_rune_bottled_double_damage"	"{s:player_name} has bottled a <font color='#82CAFF'>{s:locstring_value}</font> rune."
"IMBA_custom_rune_bottled_haste"			"{s:player_name} has bottled a <font color='#F62817'>{s:locstring_value}</font> rune."
"IMBA_custom_rune_bottled_illusion"			"{s:player_name} has bottled an <font color='#FFD700'>{s:locstring_value}</font> rune."
"IMBA_custom_rune_bottled_invisibility"		"{s:player_name} has bottled an <font color='#8B008B'>{s:locstring_value}</font> rune."
"IMBA_custom_rune_bottled_regeneration"		"{s:player_name} has bottled a <font color='#7FFF00'>{s:locstring_value}</font> rune."
"IMBA_custom_rune_bottled_arcane"			"{s:player_name} has bottled an <font color='#FD3AFB'>{s:locstring_value}</font> rune."
"IMBA_custom_rune_bottled_bounty"			"{s:player_name} has bottled a <font color='#FF7800'>{s:locstring_value}</font> rune."
"IMBA_custom_rune_bottled_frost"			"{s:player_name} has bottled a <font color='#3366FF'>{s:locstring_value}</font> rune."
"IMBA_custom_rune_bottled_ember"			"{s:player_name} has bottled a <font color='#FF3300'>{s:locstring_value}</font> rune."
"IMBA_custom_rune_bottled_stone"			"{s:player_name} has bottled a <font color='#8C8C8C'>{s:locstring_value}</font> rune."

//    "DOTA_Chat_Rune_DoubleDamage_Spotted"         "<font color='#82CAFF'>Power Surge</font> rune here."
//    "DOTA_Chat_Rune_Haste_Spotted"              "<font color='#F62817'>Nightmare Shadow</font> rune here."
//    "DOTA_Chat_Rune_Illusion_Spotted"           "<font color='#FFD700'>Illusion</font> rune here."
//    "DOTA_Chat_Rune_Invisibility_Spotted"         "<font color='#8B008B'>Invisibility</font> rune here."
//    "DOTA_Chat_Rune_Regeneration_Spotted"         "<font color='#7FFF00'>Boundless Energy</font> rune here."
//    "DOTA_Chat_Rune_Arcane_Spotted"             "<font color='#FD3AFB'>Archmage Soul</font> rune here."
//    "DOTA_Chat_Rune_Bounty_Spotted"             "<font color='#FF7800'>Bounty</font> rune here."
//    "DOTA_Chat_Rune_Pumpkin_Spotted"            "<font color='#FF7D40'>Pumpkin</font> rune here!"

"DOTA_Tooltip_Ability_item_bottle_double_damage"	"Rune: Power Surge"
"DOTA_Tooltip_Ability_item_bottle_haste"			"Rune: Nightmare Shadow"
"DOTA_Tooltip_Ability_item_bottle_illusion"			"Rune: Illusion"
"DOTA_Tooltip_Ability_item_bottle_invisible"		"Rune: Invisibility"
"DOTA_Tooltip_Ability_item_bottle_regeneration"		"Rune: Boundless Energy"
"DOTA_Tooltip_Ability_item_bottle_bounty"			"Rune: Bounty"
"DOTA_Tooltip_Ability_item_bottle_arcane"			"Rune: Archmage Soul"
"DOTA_Tooltip_Ability_item_bottle_frost"			"Rune: Greevil Soul"
"DOTA_Tooltip_Ability_item_bottle_ember"			"Rune: Ember Rune"
"DOTA_Tooltip_Ability_item_bottle_stone"			"Rune: Stone Artifact"

"DOTA_HUD_Rune_DoubleDamage"		"<font color='#82CAFF'>Power Surge</font> rune"
"DOTA_HUD_Rune_Haste"				"<font color='#F62817'>Nightmare Shadow</font> rune"
"DOTA_HUD_Rune_Illusion"			"<font color='#FFD700'>Illusion</font> rune"
"DOTA_HUD_Rune_Invisibility"		"<font color='#8B008B'>Invisibility</font> rune"
"DOTA_HUD_Rune_Regeneration"		"<font color='#7FFF00'>Boundless Energy</font> rune"
"DOTA_HUD_Rune_Arcane"				"<font color='#FD3AFB'>Arcane</font> rune"
"DOTA_HUD_Rune_Bounty"				"<font color='#FF7800'>Bounty</font> rune"

"DOTA_Tooltip_modifier_imba_frost_rune"								"Greevil Soul"
"DOTA_Tooltip_modifier_imba_frost_rune_Description"					"Enemies attacking the hero get their attack and move speed reduced by 100/20%% (respectively) for 3 seconds. Hero attacks reduce attack and movespeed of the target by 100/20%% (respectively) for 3 seconds."

"DOTA_Tooltip_modifier_imba_frost_rune_aura"						"Greevil Soul"
"DOTA_Tooltip_modifier_imba_frost_rune_aura_Description"			"Enemies attacking the hero get their attack and movespeed reduced by 100/20%% (respectively) for 3 seconds. Hero attacks reduce attack and movespeed of the target by 100/20%% (respectively) for 3 seconds."

"DOTA_Tooltip_modifier_imba_frost_rune_slow"						"Greevil Soul"
"DOTA_Tooltip_modifier_imba_frost_rune_slow_Description"			"Attack and movespeed slowed by 100/20%%."

"DOTA_Tooltip_modifier_imba_arcane_rune"							"Archmage Soul"
"DOTA_Tooltip_modifier_imba_arcane_rune_Description"				"Spell Amp increased by 50%%, mana costs reduced by 40%%, and cooldowns reduced by 30%%."

"DOTA_Tooltip_modifier_imba_arcane_rune_aura"						"Archmage Soul"
"DOTA_Tooltip_modifier_imba_arcane_rune_aura_Description"			"Spell Amp increased by 50%%, mana costs reduced by 40%%, and cooldowns reduced by 30%%."

"DOTA_Tooltip_modifier_imba_regen_rune"								"Boundless Energy"
"DOTA_Tooltip_modifier_imba_regen_rune_Description"					"Constantly regenerating health and mana by 50 + 5%%/20 + 2%% (respectively). Effect is lost upon losing all instances."

"DOTA_Tooltip_modifier_imba_regen_rune_aura"						"Boundless Energy"
"DOTA_Tooltip_modifier_imba_regen_rune_aura_Description"			"Constantly regenerating health and mana by 25 + 2.5%%/10 + 1%% (respectively). Effect is lost upon losing all instances."

"DOTA_Tooltip_modifier_imba_haste_rune"								"Nightmare Shadow"
"DOTA_Tooltip_modifier_imba_haste_rune_Description"					"Attack speed increased by 80. Movement speed increased by 60%%. No movement speed limit!"

"DOTA_Tooltip_modifier_imba_haste_rune_aura"						"Nightmare Shadow"
"DOTA_Tooltip_modifier_imba_haste_rune_aura_Description"			"Attack speed increased by 40. Movement speed increased by 30%%."

"DOTA_Tooltip_modifier_imba_double_damage_rune"						"Power Surge"
"DOTA_Tooltip_modifier_imba_double_damage_rune_Description"			"Base damage multiplied by 2. Main attribute multiplied by 2."

"DOTA_Tooltip_modifier_imba_double_damage_rune_aura"				"Power Surge"
"DOTA_Tooltip_modifier_imba_double_damage_rune_aura_Description"	"Base damage multiplied by 1.5. Main attribute multiplied by 1.5."

"DOTA_Tooltip_modifier_imba_ember_rune"								"Ember Rune"
"DOTA_Tooltip_modifier_imba_ember_rune_Description"					"Grants immolation, dealing 80 + 2%% of the target's health as damage over time around you. Also adding fire to your attacks, burning targets."

"DOTA_Tooltip_modifier_imba_ember_rune_burn"						"Ember Burn"
"DOTA_Tooltip_modifier_imba_ember_rune_burn_Description"			"Deal 80 + 2%% of the target's health as damage over time, with a 20%% chance to the target to miss attacks."

"DOTA_Tooltip_modifier_imba_stone_rune"								"Stone Artifact"
