"Refresh_Msg"								"Hero Refreshed"
"LevelUp_Msg"								"Hero Levelled Up"
"MaxLevel_Msg"								"Hero Maxed Out"
"MaxLevelAlready_Msg"						"Max level already!"
"FreeSpellsOn_Msg"							"Free Spells: On"
"FreeSpellsOff_Msg"							"Free Spells: Off"
"InvulnerabilityOn_Msg"						"Invulnerability: On"
"InvulnerabilityOff_Msg"					"Invulnerability: Off"
"SpawnAlly_Msg"								"Ally Spawned"
"SpawnEnemy_Msg"							"Enemy Spawned"
"MaxEnemies_Msg"							"Can't spawn more enemies"
"LevelUpEnemy_Msg"							"Enemies Levelled Up"
"SpawnDummyTarget_Msg"						"Dummy Target Spawned"
"RemoveSpawnedUnits_Msg"					"Removed Spawned Units"
"LaneCreepsOn_Msg"							"Lane Creeps: On"
"LaneCreepsOff_Msg"							"Lane Creeps: Off"		

"DemoOptions_MinimizeButton"				"Demo Options"
"DemoOptions_UnMinimizeButton"				"  >&#xD;&#xD;&#xD;&#xD;  >"
"Hero_ButtonCategory"						"Hero"
"Spawn_ButtonCategory"						"Spawn"
"Misc_ButtonCategory"						"Customize"

"Refresh_Button"							"Refresh"
"LevelUp_Button"							"Level Up"
"MaxLevel_Button"							"Level to Max"
"FreeSpells_Button"							"Free Spells"
"Invulnerability_Button"					"Invulnerability"
"Enemy_Button"								"Enemy"
"EnemyNotSetup_Msg"							"You must select an enemy hero first!"
"LevelUpEnemy_Button"						"Level Up Enemy"
"DummyTarget_Button"						"Dummy Target"
"RemoveSpawns_Button"						"Remove Spawns"
"SelectCosmetics_Button"					"Equip New Items"
"SelectHero_Button"							"Select New Enemy Hero"
"ChangeHero_Button"							"Select New Hero"
"PauseDemo_Button"							"Pause"
"QuitDemo_Button"							"Quit"
