"game_version_name"							"War of the Gods"
"loading_screen_description" 				"Dota IMBA is part of Frostrose Studio, directed by EarthSalamander."
"loading_screen_button"						"Frostrose Studio Website"
"loading_screen_frostrose_battlefield"		"Frostrose Battlefield requires more testers! We're moving closer to a release date and we need help to polish the gameplay and make sure the game is stable. Play-testing F-B will grant you 2x more Imbattlepass XP than regular imba games. If you're interested, join Frostrose Battlefield's Discord server:"
"loading_screen_frostrose_battlefield_2"	"(Frostrose Battlefield is a custom game where you fight in an arena with revisited dota 2 heroes. All heroes have a skillshot ability and an ultimate. The ultimate can be cast only if enough damage are inflicted to enemies.)"

"loading_screen_promote"				"Translate Dota IMBA in your native language!"
"loading_screen_promote_description"	"You can translate Dota IMBA on Transifex website, it's easy! Just create an account and subscribe to a language. Give it a try! Don't forget to request your Discord role!"
"loading_screen_promote_button"			"Click here to redirect to Transifex!"

"vote_gamemode"							"Gamemode:"
"vote_gamemode_description"				"Gamemode Vote (Vote count must be higher than 5, otherwise defaults to upper choice)"
"vote_gamemode_1"						"All Pick"
"vote_gamemode_2"						"Mutation"
"vote_gamemode_3"						"Super Frantic"
"vote_gamemode_4"						"Diretide"
"vote_gamemode_5"						"Same Hero Selection"

"description_gamemode_1"				"Standard game mode."
"description_gamemode_2"				"A random positive, negative, and terrain gameplay modifier is added to the game. 25% cooldown/mana cost/respawn time/status resistance reduction."
"description_gamemode_3"				"The de facto chaotic experience. 40% cooldown/mana cost/respawn time/status resistance reduction."
"description_gamemode_4"				"Collect candy, feed your bucket, and work together to take down Roshan as many times as you can before the timer runs out."
"description_gamemode_5"				"Duplicate heroes allowed."

"loading_screen_custom_games_1"			"This is the list of every custom games currently managed by Frostrose Studio:"
"loading_screen_custom_games_2"			"You can translate Dota IMBA in your native language on Transifex website, it's easy! Just create an account and subscribe to a language. Give it a try! Don't forget to request your Discord role!"

"party_required_votes"					"Required votes:"
