"npc_dota_hero_abaddon_imba"                                    "<font color='#FF7800'>Abaddon</font>"
"npc_dota_hero_alchemist_imba"                                  "<font color='#FF7800'>Alchemist</font>"
"npc_dota_hero_ancient_apparition_imba"                          "<font color='#FF7800'>Ancient Apparition</font>"
"npc_dota_hero_antimage_imba"                                    "<font color='#FF7800'>Anti-Mage</font>"
"npc_dota_hero_arc_warden_imba"                                  "<font color='#FF7800'>Arc Warden"
"npc_dota_hero_axe_imba"                                        "<font color='#FF7800'>Axe</font>"
"npc_dota_hero_bane_imba"                                        "<font color='#FF7800'>Bane</font>"
"npc_dota_hero_batrider_imba"                                    "<font color='#FF7800'>Batrider</font>"
"npc_dota_hero_beastmaster_imba"                                "<font color='#FF7800'>Beastmaster"
"npc_dota_hero_bloodseeker_imba"                                "<font color='#FF7800'>Bloodseeker</font>"
"npc_dota_hero_bounty_hunter_imba"                              "<font color='#FF7800'>Bounty Hunter</font>"
"npc_dota_hero_brewmaster"										"<font color='#FF7800'>Brewmaster</font>"
"npc_dota_hero_bristleback_imba"                                "<font color='#FF7800'>Bristleback</font>"
"npc_dota_hero_broodmother_imba"                                "<font color='#FF7800'>Broodmother"
"npc_dota_hero_centaur_imba"                                    "<font color='#FF7800'>Centaur</font>"
"npc_dota_hero_chaos_knight_imba"                                "<font color='#FF7800'>Chaos Knight"
"npc_dota_hero_chen_imba"                                        "<font color='#FF7800'>Chen</font>"
"npc_dota_hero_clinkz_imba"                                      "<font color='#FF7800'>Clinkz</font>"
"npc_dota_hero_crystal_maiden_imba"                              "<font color='#FF7800'>Crystal Maiden</font>"
"npc_dota_hero_dark_seer_imba"                                  "<font color='#FF7800'>Dark Seer</font>"
"npc_dota_hero_dazzle_imba"                                      "<font color='#FF7800'>Dazzle</font>"
"npc_dota_hero_death_prophet_imba"                              "<font color='#FF7800'>Death Prophet"
"npc_dota_hero_disruptor_imba"                                  "<font color='#FF7800'>Disruptor</font>"
"npc_dota_hero_doom_bringer_imba"                                "<font color='#FF7800'>Doombringer"
"npc_dota_hero_dragon_knight_imba"                              "<font color='#FF7800'>Dragon Knight</font>"
"npc_dota_hero_drow_ranger_imba"                                "<font color='#FF7800'>Drow Ranger</font>"
"npc_dota_hero_earthshaker_imba"                                "<font color='#FF7800'>Earthshaker"
"npc_dota_hero_earth_spirit_imba"                                "<font color='#FF7800'>Earth Spirit</font>"
"npc_dota_hero_elder_titan_imba"                                "<font color='#FF7800'>Elder Titan</font>"
"npc_dota_hero_enchantress_imba"                                "<font color='#FF7800'>Enchantress</font>"
"npc_dota_hero_enigma_imba"                                      "<font color='#FF7800'>Enigma</font>"
"npc_dota_hero_ember_spirit_imba"                                "<font color='#FF7800'>Ember Spirit</font>"
"npc_dota_hero_faceless_void_imba"                              "<font color='#FF7800'>Faceless Void</font>"
"npc_dota_hero_furion_imba"                                      "<font color='#FF7800'>Nature's Prophet"
"npc_dota_hero_grimstroke_imba"                             		"<font color='#FF7800'>Grimstroke</font>"
"npc_dota_hero_gyrocopter_imba"                                  "<font color='#FF7800'>Gyrocopter</font>"
"npc_dota_hero_huskar_imba"                                      "<font color='#FF7800'>Huskar</font>"
"npc_dota_hero_invoker_imba"                                    "<font color='#FF7800'>Invoker</font>"
"npc_dota_hero_jakiro_imba"                                      "<font color='#FF7800'>Jakiro</font>"
"npc_dota_hero_juggernaut_imba"                                  "<font color='#FF7800'>Juggernaut</font>"
"npc_dota_hero_keeper_of_the_light_imba"                        "<font color='#FF7800'>Keeper of the Light</font>"
"npc_dota_hero_kunkka_imba"                                      "<font color='#FF7800'>Kunkka</font>"
"npc_dota_hero_legion_commander_imba"                            "<font color='#FF7800'>Legion Commander"
"npc_dota_hero_leshrac_imba"                                    "<font color='#FF7800'>Leshrac</font>"
"npc_dota_hero_life_stealer_imba"                                "<font color='#FF7800'>Lifestealer</font>"
"npc_dota_hero_lich_imba"                                        "<font color='#FF7800'>Lich</font>"
"npc_dota_hero_lina_imba"                                        "<font color='#FF7800'>Lina</font>"
"npc_dota_hero_lion_imba"                                        "<font color='#FF7800'>Lion</font>"
"npc_dota_hero_luna_imba"                                        "<font color='#FF7800'>Luna</font>"
"npc_dota_hero_lycan_imba"                                      "<font color='#FF7800'>Lycan</font>"
