////===============================================================================================================
// Chaos Knight's Reality Rift
////===============================================================================================================
"DOTA_Tooltip_ability_imba_chaos_knight_reality_rift"           "Reality Rift"
"DOTA_Tooltip_ability_imba_chaos_knight_reality_rift_Description"     "Teleports you, any images you have and the target unit to a random point along the line between the two of you. Reduces the target's armor for %armor_duration% seconds."
"DOTA_Tooltip_ability_imba_chaos_knight_reality_rift_Lore"          "Armageddon rides between the planes, bringing Chaos Knight to his victim wherever he may hide."
"DOTA_Tooltip_ability_imba_chaos_knight_reality_rift_Note0"         "Chaos Knight and the target unit are made to face each other, and Chaos Knight and his phantasms are issued an attack order against the target."
"DOTA_Tooltip_ability_imba_chaos_knight_reality_rift_cast_range"      "#{DOTA_Tooltip_ability_antimage_blink_blink_range}"
"DOTA_Tooltip_ability_imba_chaos_knight_reality_rift_armor_reduction"   "ARMOR REDUCTION:"
"DOTA_Tooltip_ability_imba_chaos_knight_reality_rift_armor_duration"    "REDUCTION DURATION:"

"DOTA_Tooltip_modifier_reality_rift_armor_reduction_debuff"         "Reality Rift"
"DOTA_Tooltip_modifier_reality_rift_armor_reduction_debuff_Description"   "Armor reduced."

////===============================================================================================================
// Chaos Knight's Phantasm
////===============================================================================================================
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm"							"Phantasm"
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_Description"				"Summons several phantasmal copies of the Chaos Knight from alternate dimensions. The phantasms deal %outgoing_damage_tooltip%%% damage, but take %incoming_damage_tooltip%%% damage.\nDISPEL TYPE: Basic Dispel"
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_Lore"						"Drawing on his battles fought across many worlds and many times, phantasms of the Chaos Knight rise up to quell all who oppose him."
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_Note0"						"Removes most negative buffs from Chaos Knight."
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_Note1"						"Chaos Knight is invulnerable for %invuln_duration% seconds when casting, allowing him to dodge stuns and damage."
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_images_count"				"NUMBER OF PHANTASMS:"
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_illusion_duration"			"PHANTASM DURATION:"
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_incoming_damage_tooltip"	"%PHANTASM DAMAGE TAKEN:"
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_outgoing_damage_tooltip"	"%PHANTASM DAMAGE:"
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_magic_resistance"				"%ILLUSION MAGIC RESISTANCE:"	
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_scepter_description"			"Creates <font color='#FF7800'>%scepter_images_count_extra%</font> additional illusions for Chaos Knight. <font color='#FF0000'>Does not create an illusion of allied heroes.</font>"
