"npc_dota_hero_ember_spirit"                                    "Ember Spirit (IMBA)"

"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains"                  "Searing Chains"
"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains_description"      "Ember Spirit unleashes fiery bolas that wrap around nearby enemies, rooting them in place and dealing damage every <font color='#FF7800'>half</font> second.\n<font color='#FF7800'>Searing Rain:</font> Each fire remnant also throws out %units_per_charge% bolas. If they are not currently deployed, the extra bolas are centered around Ember Spirit.\n<font color='#FF7800'>Flash Fire:</font> Searing Chains also mini-stuns upon application."
"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains_Note0"				"Targets are chosen randomly around Xin."
"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains_Note1"				"Does not affect Spell Immune or invisible units."
"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains_Note2"				"Interrupts channeling spells."
"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains_lore"             "Your place is here."
"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains_effect_radius"    "EFFECT RADIUS:"
"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains_duration"         "ROOT DURATION:"
"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains_damage_per_tick"  "#{DOTA_Tooltip_ability_antimage_mana_void_mana_void_damage_per_mana}"
"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains_total_damage"     "TOTAL DAMAGE:"
"DOTA_Tooltip_Ability_imba_ember_spirit_searing_chains_units_per_charge"	"UNIT COUNT:"

"DOTA_Tooltip_Ability_imba_ember_spirit_sleight_of_fist"                    "Sleight of Fist"
"DOTA_Tooltip_Ability_imba_ember_spirit_sleight_of_fist_description"        "Ember Spirit dashes around with blazing speed, attacking all enemies in the targeted area of effect, then returning to his start location. Deals bonus damage to heroes and <font color='#FF7800'>standard</font> damage to creeps.\n<font color='#FF7800'>Blaze Connection:</font> Also attacks enemies around your remnants at 75% of the standard radius. Enemies in reach of more than one remnant can be attacked more than once."
// "DOTA_Tooltip_Ability_imba_ember_spirit_sleight_of_fist_note0"              "Lifesteal is halved when hitting creeps."
"DOTA_Tooltip_Ability_imba_ember_spirit_sleight_of_fist_lore"               "The cuts rain down!"
"DOTA_Tooltip_Ability_imba_ember_spirit_sleight_of_fist_effect_radius"      "EFFECT RADIUS:"
"DOTA_Tooltip_Ability_imba_ember_spirit_sleight_of_fist_bonus_damage"       "BONUS HERO DAMAGE:"
"DOTA_Tooltip_Ability_imba_ember_spirit_sleight_of_fist_hero_lifesteal"     "%BONUS LIFESTEAL:"

"DOTA_Tooltip_Ability_imba_ember_spirit_flame_guard"                        "Flame Guard"
"DOTA_Tooltip_Ability_imba_ember_spirit_flame_guard_description"            "Ember Spirit surrounds himself with a ring of fire that consumes incoming magic damage, leaving him unharmed. Deals damage per second around Ember Spirit while active. If the shield is broken, the damage is also lost.\n<font color='#FF7800'>Soul Fire:</font> Total magic damage absorbed is a percentage of Ember Spirit's maximum health.\n<font color='#FF7800'>Shared Flame:</font> Remnants also benefit from Flame Guard, dealing half the normal damage."
"DOTA_Tooltip_Ability_imba_ember_spirit_flame_guard_note0"                  "Permanent (talent) version grants bonus magic resistance instead of a shield."
"DOTA_Tooltip_Ability_imba_ember_spirit_flame_guard_lore"                   "Burn or be burned."
"DOTA_Tooltip_Ability_imba_ember_spirit_flame_guard_effect_radius"          "EFFECT RADIUS:"
"DOTA_Tooltip_Ability_imba_ember_spirit_flame_guard_duration"               "#{DOTA_Tooltip_ability_courier_shield_duration}"
"DOTA_Tooltip_Ability_imba_ember_spirit_flame_guard_damage_per_second"      "DAMAGE PER SECOND:"
"DOTA_Tooltip_Ability_imba_ember_spirit_flame_guard_absorb_amount"          "%HEALTH AS SHIELD:"

"DOTA_Tooltip_Ability_imba_ember_spirit_activate_fire_remnant"                  "Activate Fire Remnant"
"DOTA_Tooltip_Ability_imba_ember_spirit_activate_fire_remnant_description"      "Teleports to the remnant closest to the chosen target point. Instantly explodes all deployed remnants, causing them to deal damage to nearby enemies.\n<font color='#FF7800'>Quick Reload:</font> Upon returning to Ember Spirit, remnants can be used again after a short %remnant_recharge% second cooldown."
"DOTA_Tooltip_Ability_imba_ember_spirit_activate_fire_remnant_note0"            "If a remnant's duration expires, it doesn't explode, and simply returns to Ember Spirit."
"DOTA_Tooltip_Ability_imba_ember_spirit_activate_fire_remnant_lore"             "Tag!"
"DOTA_Tooltip_Ability_imba_ember_spirit_activate_fire_remnant_max_charges"      "REMNANT CHARGES:"
"DOTA_Tooltip_Ability_imba_ember_spirit_activate_fire_remnant_duration"         "MAX DURATION:"
"DOTA_Tooltip_Ability_imba_ember_spirit_activate_fire_remnant_effect_radius"    "EXPLOSION RADIUS:"
"DOTA_Tooltip_Ability_imba_ember_spirit_activate_fire_remnant_damage"           "EXPLOSION DAMAGE:"

"DOTA_Tooltip_Ability_imba_ember_spirit_activate_fire_remnant_scepter_description"	"Activate Fire Remnant costs less mana."
"DOTA_Tooltip_Ability_imba_ember_spirit_activate_fire_remnant_scepter_mana_cost"	"SCEPTER MANA COST:"

"DOTA_Tooltip_Ability_imba_ember_spirit_fire_remnant"                       "Fire Remnant"
"DOTA_Tooltip_Ability_imba_ember_spirit_fire_remnant_description"           "Ember Spirit generates Fire Remnant charges every %remnant_recharge% seconds, with a max of %max_charges% charges. Releasing a charge sends a Fire Remnant that <font color='#FF7800'>teleports</font> to the target location <font color='#FF7800'>instantly</font>. Using Activate Fire Remnant, Ember Spirit can <font color='#FF7800'>teleport</font> out to his Remnants, dealing damage along the way and exploding them upon arrival. The targeted Remnant will be arrived at last.\n<font color='#FF7800'>Through Fire and Flames:</font> Remnants replicate Ember Spirit's abilities, and after expiring or being activated, only need a %remnant_recharge% second cooldown to be usable again."
"DOTA_Tooltip_Ability_imba_ember_spirit_fire_remnant_note0"                 "If a remnant's duration expires, it doesn't explode, and simply returns to Ember Spirit."
"DOTA_Tooltip_Ability_imba_ember_spirit_fire_remnant_lore"                  "Xin's spirit fragments into quasi-real copies of himself, able of replicating his feats at a distance."
"DOTA_Tooltip_Ability_imba_ember_spirit_fire_remnant_max_charges"           "REMNANT CHARGES:"
"DOTA_Tooltip_Ability_imba_ember_spirit_fire_remnant_duration"              "MAX DURATION:"
"DOTA_Tooltip_Ability_imba_ember_spirit_fire_remnant_effect_radius"         "EXPLOSION RADIUS:"
"DOTA_Tooltip_Ability_imba_ember_spirit_fire_remnant_damage"                "EXPLOSION DAMAGE:"
"DOTA_Tooltip_Ability_imba_ember_spirit_fire_remnant_attack_cd_scepter"     "SCEPTER ATTACK RATE:"
"DOTA_Tooltip_Ability_imba_ember_spirit_fire_remnant_scepter_description"   "Increases cast range by %scepter_additional_cast_range% and maximum charges by %scepter_additional_charges%."

// <font color='#FF7800'>Causes your remnants to attack a random enemy in their range, using your attack damage and items, every 2 seconds.</font>

// Modifiers
"DOTA_Tooltip_modifier_imba_sleight_of_fist_caster"					"Sleight of Fist"
"DOTA_Tooltip_modifier_imba_sleight_of_fist_caster_Description"		"Attacking all enemies in the targeted area of effect."

"DOTA_Tooltip_modifier_imba_flame_guard_aura"                           "Flame Guard"
"DOTA_Tooltip_modifier_imba_flame_guard_aura_Description"               "Absorbing incoming magic damage and dealing fire damage over time to nearby enemies."

"DOTA_Tooltip_modifier_imba_flame_guard_passive"                        "Flame Guard"
"DOTA_Tooltip_modifier_imba_flame_guard_passive_Description"            "Absorbing incoming magic damage and dealing fire damage over time to nearby enemies."

"DOTA_Tooltip_modifier_imba_searing_chains_debuff"                      "Searing Chains"
"DOTA_Tooltip_modifier_imba_searing_chains_debuff_Description"          "Rooted to the ground and taking damage over time."

"DOTA_Tooltip_modifier_imba_fire_remnant_charges"                       "Fire Remnant Charges"
"DOTA_Tooltip_modifier_imba_fire_remnant_charges_Description"           "Amount of Remnants that can be deployed."

"DOTA_Tooltip_modifier_imba_fire_remnant_cooldown"                      "Fire Remnant cooldown"
"DOTA_Tooltip_modifier_imba_fire_remnant_cooldown_Description"          "This remnant is cooling down until it can be re-used."

"DOTA_Tooltip_modifier_imba_fire_remnant_timer"							"Fire Remnant Duration"
"DOTA_Tooltip_modifier_imba_fire_remnant_timer_Description"				"Fire Remnants expire after 45 seconds."

// Talents
"DOTA_Tooltip_Ability_special_bonus_ember_chains_on_attack"                     "Attacks apply Searing Chains"
"DOTA_Tooltip_Ability_special_bonus_ember_chains_on_attack_description"         "Your attacks now have a 17% chance to apply Searing Chains for 1.5 seconds."
"DOTA_Tooltip_Ability_special_bonus_ember_chains_duration"                      "+1s Searing Chains"
"DOTA_Tooltip_Ability_special_bonus_ember_guard_damage"                         "+60 Flame Guard DPS"
"DOTA_Tooltip_Ability_special_bonus_ember_sleight_extra_targets"                "Sleight of Fist hits 3 bonus targets"
"DOTA_Tooltip_Ability_special_bonus_ember_sleight_extra_targets_description"    "3 amongst the targets are randomly picked to be hit one extra time. Effect can stack on a single unit."
"DOTA_Tooltip_Ability_special_bonus_ember_permanent_guard"                      "Permanent Flame Guard"
"DOTA_Tooltip_Ability_special_bonus_ember_permanent_guard_description"          "Grants +{s:value}% permanent magic resistance instead of the normal shield."
"DOTA_Tooltip_Ability_special_bonus_ember_remnant_charges"                      "+2 Fire Remnant charges"
