// Lion
////===============================================================================================================
// Lion's Earth Spike
////===============================================================================================================

"DOTA_Tooltip_ability_imba_lion_impale"							"#{DOTA_Tooltip_ability_lion_impale}"
"DOTA_Tooltip_ability_imba_lion_impale_Imbafication_1"				"<font color='#FF7800'>Hell Spike:</font> Each enemy hero that has been hit by Earth Spike creates a new Earth Spike that attacks the closest enemy to it. Each enemy can only be hit once per cast. This effect can only trigger up to a maximum occurances per cast."
"DOTA_Tooltip_ability_imba_lion_impale_extra_spike_AOE"			"HELL SPIKE RANGE:"
"DOTA_Tooltip_ability_imba_lion_impale_max_bounces_per_cast"		"MAX HELL SPIKES PER CAST:"

"DOTA_Tooltip_modifier_imba_earthspike_stun"							"Earth Spike"
"DOTA_Tooltip_modifier_imba_earthspike_stun_Description"				"Stunned."

"DOTA_Tooltip_modifier_imba_earthspike_death_spike"						"Death Spike"
"DOTA_Tooltip_modifier_imba_earthspike_death_spike_Description"			"Slowed. Receives additional damage from Finger of Death."

////===============================================================================================================
// Lion's Hex
////===============================================================================================================

"DOTA_Tooltip_ability_imba_lion_voodoo"									"#{DOTA_Tooltip_ability_lion_voodoo}"
"DOTA_Tooltip_ability_imba_lion_voodoo_Imbafication_1"						"<font color='#FF7800'>Chain Hex:</font> After %bounce_interval% seconds or whenever Hex expires (whichever comes sooner), a random enemy in a radius around the target will be hexed. Chain Hex continues until there is no longer a valid target in the area."
"DOTA_Tooltip_ability_imba_lion_voodoo_hex_bounce_radius"					"CHAIN HEX RADIUS:"
"DOTA_Tooltip_ability_imba_lion_voodoo_maximum_hex_enemies"				"MAXIMUM ENEMIES PER CHAIN HEX:"

"DOTA_Tooltip_modifier_imba_lion_voodoo"									"Hex"
"DOTA_Tooltip_modifier_imba_lion_voodoo_Description"						"Transformed into a frog! After a short duration, hex spreads to nearby teammates."

"DOTA_Tooltip_modifier_imba_lion_voodoo"									"Hex"
"DOTA_Tooltip_modifier_imba_lion_voodoo_Description"						"Transformed into a frog! After a short duration, hex spreads to nearby teammates."

"DOTA_Tooltip_modifier_imba_lion_voodoo_chain_cooldown"					"Chain Hex Cooldown"
"DOTA_Tooltip_modifier_imba_lion_voodoo_chain_cooldown_Description"		"You have developed resistance to Chain Hex for a short duration."

////===============================================================================================================
// Lion's Mana Drain
////===============================================================================================================

"DOTA_Tooltip_ability_imba_lion_mana_drain"								"#{DOTA_Tooltip_ability_lion_mana_drain}"
"DOTA_Tooltip_ability_imba_lion_mana_drain_shard_Description"			"#{DOTA_Tooltip_ability_lion_mana_drain_shard_description}"
"DOTA_Tooltip_ability_imba_lion_mana_drain_Imbafication_1"					"<font color='#FF7800'>Potent Suction:</font> Unaffected by status resistance."
"DOTA_Tooltip_ability_imba_lion_mana_drain_Imbafication_2"					"<font color='#FF7800'>Drain Aura:</font> Passively drains %aura_mana_drain_pct%%% of enemies' max mana within %aura_radius% radius per second."
