"npc_dota_hero_malfurion_npedesc1"			"Summons a Living Tower"

"DOTA_Tooltip_ability_imba_malfurion_entrangling_roots"							"Entrangling Roots"
"DOTA_Tooltip_ability_imba_malfurion_entrangling_roots_Description"				"Disarm and Roots the target, dealing %dmg_per_sec% damage per second for %duration% seconds. Ignores status resistance."
"DOTA_Tooltip_ability_imba_malfurion_entrangling_roots_Note0"					"First damage instance start on cast."
"DOTA_Tooltip_ability_imba_malfurion_entrangling_roots_Lore"					""
"DOTA_Tooltip_ability_imba_malfurion_entrangling_roots_dmg_per_sec"				"DMG PER SEC:"
"DOTA_Tooltip_ability_imba_malfurion_entrangling_roots_duration"				"#{DOTA_Tooltip_ability_fountain_glyph_duration}"
"DOTA_Tooltip_ability_imba_malfurion_entrangling_roots_total_damage_tooltip"	"TOTAL DAMAGE:"

"DOTA_Tooltip_ability_imba_malfurion_rejuvenation"								"Rejuvenation"
"DOTA_Tooltip_ability_imba_malfurion_rejuvenation_Description"					"Applies a healing buff around Malfurion, which lasts for %duration% seconds. Healing efficacy is reduced for creeps and buildings."
"DOTA_Tooltip_ability_imba_malfurion_rejuvenation_heal_per_sec"					"HEAL PER SEC:"
"DOTA_Tooltip_ability_imba_malfurion_rejuvenation_heal_per_sec_creep_pct"		"%HEAL PER SEC (CREEPS):"
"DOTA_Tooltip_ability_imba_malfurion_rejuvenation_heal_per_sec_building_pct"	"%HEAL PER SEC (BUILDINGS):"
"DOTA_Tooltip_ability_imba_malfurion_rejuvenation_radius"						"RADIUS:"
"DOTA_Tooltip_ability_imba_malfurion_rejuvenation_duration"						"#{DOTA_Tooltip_ability_fountain_glyph_duration}"
"DOTA_Tooltip_ability_imba_malfurion_rejuvenation_abilitycastrange"				"CAST RANGE:"

"DOTA_Tooltip_modifier_imba_rejuvenation"										"Rejuvenation"
"DOTA_Tooltip_modifier_imba_rejuvenation_Description"							"Healed periodically."

"DOTA_Tooltip_ability_imba_malfurion_mark_of_the_claw"							"Mark of the Claw"
"DOTA_Tooltip_ability_imba_malfurion_mark_of_the_claw_Description"				"Has a chance to trigger bonus damage and a cleave attack."
"DOTA_Tooltip_ability_imba_malfurion_mark_of_the_claw_Lore"						""
"DOTA_Tooltip_ability_imba_malfurion_mark_of_the_claw_Note0"					"Bonus damage is a percentage of the attack damage dealt after reductions."
"DOTA_Tooltip_ability_imba_malfurion_mark_of_the_claw_Note1"					"Works against ward-type units."
"DOTA_Tooltip_ability_imba_malfurion_mark_of_the_claw_chance"					"%CHANCE:"
"DOTA_Tooltip_ability_imba_malfurion_mark_of_the_claw_bonus_damage_pct"			"%BONUS DAMAGE:"
"DOTA_Tooltip_ability_imba_malfurion_mark_of_the_claw_radius"					"CLEAVE RADIUS:"
"DOTA_Tooltip_ability_imba_malfurion_mark_of_the_claw_splash_damage_pct"		"%CLEAVE:"

"DOTA_Tooltip_ability_imba_malfurion_strength_of_the_wild"							"Strength of the Wild"
"DOTA_Tooltip_ability_imba_malfurion_strength_of_the_wild_Description"				"Increase Malfurion's attack damage against non-hero enemies."
"DOTA_Tooltip_ability_imba_malfurion_strength_of_the_wild_Lore"						""
"DOTA_Tooltip_ability_imba_malfurion_strength_of_the_wild_bonus_damage_tooltip"		"%DAMAGE MULTIPLIER:"

"DOTA_Tooltip_ability_imba_malfurion_living_tower"							"Living Tower"
"DOTA_Tooltip_ability_imba_malfurion_living_tower_Description"				"Summons a powerful living tower, which benefits from custom creep scaling. This tower is treated as a magic immune, creep-hero Ancient unit."
"DOTA_Tooltip_ability_imba_malfurion_living_tower_Lore"						""
"DOTA_Tooltip_ability_imba_malfurion_living_tower_health"					"TOWER HEALTH:"
"DOTA_Tooltip_ability_imba_malfurion_living_tower_damage"					"TOWER DAMAGE:"
"DOTA_Tooltip_ability_imba_malfurion_living_tower_attack_range"				"TOWER ATTACK RANGE:"
"DOTA_Tooltip_ability_imba_malfurion_living_tower_attack_speed"				"TOWER ATTACK SPEED:"
"DOTA_Tooltip_ability_imba_malfurion_living_tower_xp_bounty"				"DEATH XP BOUNTY:"
"DOTA_Tooltip_ability_imba_malfurion_living_tower_gold_bounty"				"DEATH GOLD BOUNTY:"

"DOTA_Tooltip_ability_imba_malfurion_living_tower_scepter_description"		"Increases Living Tower health and duration."
"DOTA_Tooltip_ability_imba_malfurion_living_tower_scepter_health"			"SCEPTER HEALTH:"
"DOTA_Tooltip_ability_imba_malfurion_living_tower_scepter_duration"			"SCEPTER DURATION:"

"npc_imba_malfurion_living_tower_radiant"				"Living Tower"
"npc_imba_malfurion_living_tower_dire"					"Living Tower"

"DOTA_Tooltip_ability_special_bonus_imba_malfurion_1"						"Living Tower - Living Aegis"
"DOTA_Tooltip_ability_special_bonus_imba_malfurion_1_Description"			"Increases armor of allies within 1200 radius of the Living Tower by 6/10/14."

"DOTA_Tooltip_ability_special_bonus_imba_malfurion_2"						"Living Tower - Living Atrophy"
"DOTA_Tooltip_ability_special_bonus_imba_malfurion_2_Description"			"Reduces base attack damage of enemies within 1200 radius of the Living Tower by 25/30/35%."

"DOTA_Tooltip_ability_special_bonus_imba_malfurion_3"						"Living Tower - Living Soul Leech"
"DOTA_Tooltip_ability_special_bonus_imba_malfurion_3_Description"			"Grants 20/30/40% all-damage lifesteal to allies within 1200 radius of the Living Tower."

"DOTA_Tooltip_ability_special_bonus_imba_malfurion_4"						"Living Tower - Living Barrier"
"DOTA_Tooltip_ability_special_bonus_imba_malfurion_4_Description"			"Grants a 200/275/350 all-damage barrier to allies within 1200 radius of the Living Tower. Takes 8 seconds to replenish if broken."

"DOTA_Tooltip_ability_special_bonus_imba_malfurion_5"						"+40 Rejuvenation Heal"
