// "npc_dota_hero_puck"                                        "Puck (IMBA)"

//PUCK
"DOTA_Tooltip_ability_imba_puck_illusory_orb"										"Illusory Orb"
"DOTA_Tooltip_ability_imba_puck_illusory_orb_Description"							"Puck launches a magic orb that floats in a straight path, damaging enemy units along the way. At any point, Puck may teleport to the orb's location using Ethereal Jaunt.\n<font color='#FF7800'>Eternal Jaunt:</font> Ethereal Jaunt does not destroy the Illusory Orb when activated, allowing for multiple warps per orb. However, each additional jaunt beyond the first has a mana cost equal to %eternal_max_mana_pct%%% of Puck's max mana.\n<font color='#FF7800'>Dichotomous:</font> Fires an additional Illusory Orb backwards. This orb cannot be jaunted to."
"DOTA_Tooltip_ability_imba_puck_illusory_orb_Lore"									"The playful Faerie Dragon delights in confusing others, vanishing and reappearing where unexpected."
"DOTA_Tooltip_ability_imba_puck_illusory_orb_Note0"									"The Illusory Orb grants unobstructed vision around its location while it travels."
"DOTA_Tooltip_ability_imba_puck_illusory_orb_Note1"									"Jaunting to the Orb will disjoint projectiles."
"DOTA_Tooltip_ability_imba_puck_illusory_orb_max_distance"							"MAX DISTANCE:"

"DOTA_Tooltip_ability_imba_puck_waning_rift"											"Waning Rift"
"DOTA_Tooltip_ability_imba_puck_waning_rift_Description"								"Puck teleports to the target location and releases a burst of faerie dust that deals damage and silences enemy units nearby.\n<font color='#FF7800'>Pocket Glitter:</font> Also reduces vision by %glitter_vision_reduction%%%.\n<font color='#FF7800'>Trickster's Inhibition:</font> The next %trickster_null_instances% damage instance inflicted while affected by Waning Rift have its damage reduced by 100%."
"DOTA_Tooltip_ability_imba_puck_waning_rift_Lore"									"With a mischievous grin, Puck spreads its enchanted powder which disrupts magical flow."
"DOTA_Tooltip_ability_imba_puck_waning_rift_radius"									"RADIUS:"
"DOTA_Tooltip_ability_imba_puck_waning_rift_silence_duration"						"DURATION:"
"DOTA_Tooltip_ability_imba_puck_waning_rift_damage"									"DAMAGE:"

"DOTA_Tooltip_ability_imba_puck_phase_shift"											"Phase Shift"
"DOTA_Tooltip_ability_imba_puck_phase_shift_Description"								"Puck briefly shifts into another dimension where it is immune from harm.\n<font color='#FF7800'>Sinusoid:</font> Can be set to auto-cast to make Phase Shift a %sinusoid_cast_range% range ground-targeted ability. Casting Phase Shift in this fashion immediately ports Puck to the targeted position before shifting into another dimension.\n<font color='#FF7800'>Grab a Friend!</font> Auto-cast also has a unit-targeted portion, which shifts a friendly unit into another dimension as well for the duration of the channel.\n<font color='#FF0000'>Not affected by cast range modifying abilities.</font>"
"DOTA_Tooltip_ability_imba_puck_phase_shift_Lore"									"With a quip and flash, Puck returns to the alien dimension from whence it came."
"DOTA_Tooltip_ability_imba_puck_phase_shift_Note0"									"Puck retains collision size while under the effects of Phase Shift."
"DOTA_Tooltip_ability_imba_puck_phase_shift_Note1"									"Issuing any action will cancel Phase Shift."
"DOTA_Tooltip_ability_imba_puck_phase_shift_Note2"									"Puck is invulnerable during Phase Shift."
"DOTA_Tooltip_ability_imba_puck_phase_shift_duration"								"DURATION:"

"DOTA_Tooltip_ability_imba_puck_dream_coil"											"Dream Coil"
"DOTA_Tooltip_ability_imba_puck_dream_coil_Description"								"Creates a coil of volatile magic that latches onto enemy Heroes, stunning them for %stun_duration% seconds, damaging and leashing them.  If the enemy hero stretches the coil by moving too far away, it snaps, stunning and dealing additional damage.\n<font color='#FF7800'>Visionary:</font> Enemies caught in Dream Coil have the remaining cooldown of their ultimate abilities revealed to Puck for the full latch duration (no status resistance). The ability cooldowns are shown as individual stack counts on Puck.\n<font color='#FF7800'>Midsummer's Nightmare:</font> Breaking the leash automatically recasts Dream Coil at the offender's location for the remaining latch duration plus the stun duration.\n<font color='#FF7800'>Rapid Fire:</font> Puck performs instant attacks through Dream Coil's center on all leashed enemies at a static interval, as long as Puck stays within %rapid_fire_max_distance% radius of the targeted area."
"DOTA_Tooltip_ability_imba_puck_dream_coil_Lore"										"The Faerie Dragon sows confusion by forcing its enemies to vividly dream about their own mortality."
"DOTA_Tooltip_ability_imba_puck_dream_coil_coil_duration"							"COIL DURATION:"
"DOTA_Tooltip_ability_imba_puck_dream_coil_coil_radius"								"COIL RADIUS:"
"DOTA_Tooltip_ability_imba_puck_dream_coil_coil_initial_damage"						"INITIAL DAMAGE:"
"DOTA_Tooltip_ability_imba_puck_dream_coil_coil_break_radius"						"BREAK RADIUS:"
"DOTA_Tooltip_ability_imba_puck_dream_coil_coil_stun_duration"						"BREAK STUN DURATION:"
"DOTA_Tooltip_ability_imba_puck_dream_coil_coil_break_damage"						"BREAK DAMAGE:"
"DOTA_Tooltip_ability_imba_puck_dream_coil_rapid_fire_interval"						"RAPID FIRE INTERVAL:"
"DOTA_Tooltip_ability_imba_puck_dream_coil_coil_duration_scepter"					"SCEPTER COIL DURATION:"
"DOTA_Tooltip_ability_imba_puck_dream_coil_coil_stun_duration_scepter"				"SCEPTER BREAK STUN DURATION:"
"DOTA_Tooltip_ability_imba_puck_dream_coil_coil_break_damage_scepter"				"SCEPTER BREAK DAMAGE:"
"DOTA_Tooltip_ability_imba_puck_dream_coil_scepter_description"						"Increases damage from coil breaks, increases coil duration, coil break stun goes through spell immunity."

"DOTA_Tooltip_ability_imba_puck_ethereal_jaunt"										"Ethereal Jaunt"
"DOTA_Tooltip_ability_imba_puck_ethereal_jaunt_Description"							"Teleports Puck to a flying Illusory Orb."

"DOTA_Tooltip_modifier_imba_puck_phase_shift"				"Phase Shift"
"DOTA_Tooltip_modifier_imba_puck_phase_shift_Description"	"Temporarily shifted out of existence."
"DOTA_Tooltip_modifier_imba_puck_dream_coil"						"Dream Coiled"
"DOTA_Tooltip_modifier_imba_puck_dream_coil_Description"			"Tethered to the Dream Coil."

"DOTA_Tooltip_modifier_imba_puck_dream_coil_visionary"						"Visionary"
"DOTA_Tooltip_modifier_imba_puck_dream_coil_visionary_Description"			"Cooldown of the enemy's ultimate ability being revealed as stack count."


"DOTA_Tooltip_ability_special_bonus_imba_puck_illusory_orb_speed"			"+50% Illusory Orb Distance/Speed"
"DOTA_Tooltip_ability_special_bonus_imba_puck_waning_rift_cooldown"			"-9s Waning Rift Cooldown"
"DOTA_Tooltip_ability_special_bonus_imba_puck_dream_coil_targets"			"Complex Dreamer"
"DOTA_Tooltip_ability_special_bonus_imba_puck_dream_coil_targets_Description"		"-0.15 Rapid Fire Attack Interval; Dream Coil Affects Creeps"
"DOTA_Tooltip_ability_special_bonus_imba_puck_phase_shift_attacks"					"Phase Shift Attack"
"DOTA_Tooltip_ability_special_bonus_imba_puck_phase_shift_attacks_Description"		"Puck instantly attacks all enemies upon casting Phase Shift, within attack range + 200."
"DOTA_Tooltip_ability_special_bonus_imba_puck_waning_rift_range"			"+{s:value} Waning Rift AoE and Range"
