"npc_dota_hero_snapfire"		"#{npc_dota_hero_snapfire} (IMBA)"

"DOTA_Tooltip_ability_imba_snapfire_scatterblast"									"#{DOTA_Tooltip_ability_snapfire_scatterblast}"
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_Description"						"#{DOTA_Tooltip_ability_snapfire_scatterblast_Description} \n\n<font color='#FF7800'>12-Gauge: </font> Enemies caught at point-blank are stunned. \n<font color='#FF7800'>Russian Roulette: </font> Scatterblast has a chance to either disarm or silence the first target hit."
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_Lore"								"#{DOTA_Tooltip_ability_snapfire_scatterblast_Lore}"
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_damage"							"#{DOTA_Tooltip_ability_snapfire_scatterblast_damage}"	
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_debuff_duration"					"SILENCE/DISARM DURATION:"
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_slow_duration"						"SLOW DURATION:"
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_point_blank_range"					"#{DOTA_Tooltip_ability_snapfire_scatterblast_point_blank_range}"
"DOTA_Tooltip_ability_imba_snapfire_scatterblast_movement_slow_pct"					"#{DOTA_Tooltip_ability_snapfire_scatterblast_movement_slow_pct}"
//"DOTA_Tooltip_ability_imba_snapfire_scatterblast_point_blank_dmg_bonus_pct"		"%POINT BLANK BONUS DMG:"

"DOTA_Tooltip_modifier_imba_snapfire_scatterblast_slow"								"#{DOTA_Tooltip_modifier_snapfire_scatterblast_slow}"
"DOTA_Tooltip_modifier_imba_snapfire_scatterblast_slow_Description"					"#{DOTA_Tooltip_modifier_snapfire_scatterblast_slow_Description}"

"DOTA_Tooltip_modifier_imba_snapfire_scatterblast_silence"							"Silenced"

"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie"								"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie}"
"DOTA_Tooltip_ability_imba_snapfire_firesnap_cookie_Description"					"#{DOTA_Tooltip_ability_snapfire_firesnap_cookie_Description} \n\n<font color='#FF7800'>Spicy Spicy Cookie!:</font> When auto-cast is enabled, increase range by %auto_cast_range_increase%%, removing stun component on-land.\n<font color='#FF7800'>Forcesnap:</font> Firesnap Cookie can be cast on enemies."
