//UNIVERSAL LOADSCREEN TIPS		(25+ games played)
"dota_tip_universal_1"				"Announcers and HUD Skins are shared between all players in a match. You can choose among them by pressing the Shared Content button on the left side of the Top Bar."
"dota_tip_universal_2"				"Remain calm. Remember: it's only a game."
"dota_tip_universal_3"				"You can mute rude players by going to the Scoreboard, accessed using the buttons on the left side of the Top Bar."
"dota_tip_universal_4"				"After you have chosen your hero, you can click on the minimap in the lower left to inform your teammates which lane you intend to use when the game begins."
"dota_tip_universal_5"				"Enjoyed playing with someone? Commend them by clicking on their name in the Scoreboard, accessed using the buttons on the left side of the Top Bar."
"dota_tip_universal_6"				"You can hold Alt and click on an ability to inform your teammates of that ability's current cooldown status."
"dota_tip_universal_7"				"You can inform your teammates that an enemy Hero is missing by holding Alt and clicking on that Hero's portrait in the Top Bar."
"dota_tip_universal_8"				"Always be polite, especially to your teammates. People are less likely to listen to those who are rude." 
"dota_tip_universal_9"				"Players who abandon a match will be penalized."		
"dota_tip_universal_10"				"Anyone can buy wards, and anyone can buy the courier. If your team needs something, don't be afraid to buy it!"
"dota_tip_universal_11"				"Be nice to new players. Everyone has to start somewhere."
"dota_tip_universal_12"				"Good luck. Have fun."
"dota_tip_universal_13"				"Hero choices matter. Many heroes can counter other heroes, and many hero combinations are far more powerful and useful than any hero is alone."
"dota_tip_universal_14"				"Holding Shift allows you to issue actions to be performed in a sequence."
"dota_tip_universal_15"				"Make your voice heard! Visit the Dota 2 Workshop and vote for the items you'd like to see sold in Dota 2."
"dota_tip_universal_16"				"Global Items can be added to a Shuffle list, causing a different random item to be chosen for that slot for every match."
"dota_tip_universal_17"				"Positive reinforcement can go a long way toward victory."
"dota_tip_universal_18"				"Prefer to see icons of Heroes' faces instead of color-coded symbols on the minimap? You can change this in the settings menu."
"dota_tip_universal_19"				"Remember to stand up and stretch between matches."
"dota_tip_universal_20"				"Remember: everyone has bad games. Everyone makes mistakes."
"dota_tip_universal_21"				"Want the minimap to appear on the other side of the screen? You can change it in the settings menu."
"dota_tip_universal_22"				"You can adjust how often hero voices are heard in the settings menu."
"dota_tip_universal_23"				"You can download your match replays from the Recent Games list in your Profile. A good way to improve is by viewing your matches from a new perspective!"
"dota_tip_universal_24"				"You can hold Alt and click on an ability or item to inform your teammates if it is ready, on cooldown, or if you do not have enough mana to use it."
"dota_tip_universal_25"				"You can still use items while silenced."
"dota_tip_universal_26"				"Accidentally canceled your Town Portal Scroll? The settings menu has an option to require a Stop command when cancelling a Teleport."
"dota_tip_universal_27"				"Holding Alt and clicking on an item in an enemy hero's inventory will alert your team that the enemy has that item."
"dota_tip_universal_28"				"Holding Alt and clicking on your Buyback button, or on your gold, will alert your team of your Buyback status."
"dota_tip_universal_29"				"In All Pick, players who have not chosen a Hero before the timer expires will be forced to random." // "In All Pick, players who have not chosen a Hero before the timer expires will begin to lose their starting gold."
"dota_tip_universal_30"				"Dota 2 is always evolving. New features are added, new Heroes are introduced, and existing Heroes and mechanics may see adjustments. Keep up with the latest changes at the Dota 2 blog!"
"dota_tip_universal_31"				"Be careful not to make more enemies than the five you are already facing."
"dota_tip_universal_33"				"If needed, a Color Blind option is available in the settings menu."
"dota_tip_universal_34"				"Holding Alt and clicking on an enemy Hero's health and mana bars, or your own, will inform your team of that Hero's current health and mana."
"dota_tip_universal_35"				"You can inform your team of active buffs or debuffs on your Hero by holding Alt and clicking on their icons - this also works on enemy heroes."
"dota_tip_universal_36"				"If you hold Alt and click on the Glyph of Fortification, you will inform your team of its current status. To tell your team not to use the Glyph, hold both Control and Alt while clicking on the Glyph."
"dota_tip_universal_37"				"Holding Alt and clicking on your respawn timer will announce your current respawn time to your team."
"dota_tip_universal_38"				"Use the Chat Wheel to quickly send pre-selected messages to your teammates. Chat Wheel phrases can be customized in the settings menu."
"dota_tip_universal_39"				"Chat Wheel messages are translated to appear in whichever language the receiving player is using."
"dota_tip_universal_40"				"Assign ability keys to Quickcast to use skills at the location of your mouse cursor with a single key press."
"dota_tip_universal_42"				"You can expose your public match data to be gathered by third parties in the settings menu."
"dota_tip_universal_43"				"From the settings menu you can set items and abilities to automatically cast on your Hero using a double-click on the ability icon, or with a double-tap of its assigned key."
"dota_tip_universal_44"				"Never give up! Killing an enemy Hero is worth more gold and experience if your team is less powerful than your opponents."
"dota_tip_universal_45"				"It is everyone's responsibility to try to make the Dota community a friendly and inviting place to compete."
"dota_tip_universal_46"				"Want to see how the pros play Dota? Check out the many Dota 2 tournaments taking place around the world. You might learn a few new tricks for your favorite hero."
"dota_tip_universal_47"				"You can disable auto-attacking in the options menu."
"dota_tip_universal_48"			"Always be nice to those who buy Wards and Couriers."
"dota_tip_universal_49"			"Destroying an enemy tower or barracks is usually more valuable to your team than slaying an enemy hero."
"dota_tip_universal_50"			"Stay calm and polite and you will have better success motivating your teammates."
"dota_tip_universal_51"			"Calm players almost always make better decisions."
"dota_tip_universal_52"			"Always be planning your next move."
"dota_tip_universal_53"			"Even a defeat is practice for your next victory."
