// All the old tooltips before the new system
// These should all be broken out into their own files so that it's easier to edit

//=================================================================================================================
// IMBA Itembuilds
//=================================================================================================================
//Contributors
"DOTA_Item_Build_creator_cookies"           "Created by EarthSalamander #42"

//=================================================================================================================
//=================================================================================================================
// IMBA custom error messages
//=================================================================================================================
//=================================================================================================================
"dota_hud_error_cant_use_already_hexed"						"Target already hexed."
"dota_hud_error_clone_cant_use"								"Cannot be used by clones."
"dota_hud_error_cant_use_on_wards"							"Cannot use on wards."
"dota_hud_error_cant_use_on_necrobook"						"Cannot use on necrobook minions."
"dota_hud_error_shadow_jaunt_track"							"Ability can only be used on Tracked enemies"
"dota_hud_error_cant_cast_on_self"							"Ability cannot be cast on yourself"
"dota_hud_error_lich_self_ice_armor"						"Ice Armor is eternally applied to you!"
"dota_hud_error_life_drain_self"							"You cannot suck yourself"
"dota_hud_error_life_drain_target"							"This target is already being Life Drained"
"dota_hud_error_mana_drain_self"							"You cannot suck yourself"
"dota_hud_error_mana_drain_no_mana"							"This unit has no mana"
"dota_hud_error_cant_item_enough_slots"						"Not enough free slots to pickup this item!"
"dota_hud_error_cant_item_courier"							"Couriers can't pick up this item!"
"dota_hud_error_cant_item_give"								"You can't give this item to someone else!"
"dota_hud_error_cant_use_disarmed"							"Can't use ability when disarmed"
"dota_hud_error_cant_cast_on_spirits"						"This unit is already bound to you"
"dota_hud_error_cast_only_pumpkin"							"You can't target towers!"
"dota_hud_error_cant_purchase_1v1"							"This item is not allowed in 1v1!"
"dota_hud_error_cant_shrine_1v1"							"You can't use shrines in 1v1!"
"dota_hud_error_cant_infest_bob"							"You can't infest BOB!"
"dota_hud_error_cant_devour_roshan"							"This boii is too big for your mouth!"
"dota_hud_error_cant_cast_near_fountain"					"Cannot Cast Near Fountain Area"

//=================================================================================================================
//=================================================================================================================
// IMBA XP Titles
//=================================================================================================================
//=================================================================================================================
"imba_rank_title_rookie"                                    "Rookie"
"imba_rank_title_amateur"                                  "Amateur"
"imba_rank_title_captain"                                  "Captain"
"imba_rank_title_warrior"                                  "Warrior"
"imba_rank_title_commander"                                "Commander"
"imba_rank_title_general"                                  "General"
"imba_rank_title_master"                                    "Master"
"imba_rank_title_epic"                                      "Epic"
"imba_rank_title_legendary"                                "Legendary"
"imba_rank_title_amphibian"                             "Amphibian"
"imba_rank_title_icefrog"                                  "Icefrog"
"imba_rank_title_firetoad"                                  "Firetoad"

//=================================================================================================================
//=================================================================================================================
// Dota Hero names
//=================================================================================================================
//=================================================================================================================
"npc_dota_hero_abaddon"                                    "Abaddon (IMBA)"
"npc_dota_hero_alchemist"                                  "Alchemist (IMBA)"
"npc_dota_hero_ancient_apparition"                          "Ancient Apparition (IMBA)"
"npc_dota_hero_antimage"                                    "Anti-Mage (IMBA)"
"npc_dota_hero_arc_warden"                                  "Arc Warden"
"npc_dota_hero_axe"                                        "Axe (IMBA)"
"npc_dota_hero_bane"                                        "Bane (IMBA)"
"npc_dota_hero_batrider"                                    "Batrider (IMBA)"
"npc_dota_hero_beastmaster"                                "Beastmaster"
"npc_dota_hero_bloodseeker"                                "Bloodseeker (IMBA)"
